timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4
712458, 22.024694442749023, -0.8838738799095154, 0.003888876875862479, 0.002705155173316598, 0.0008650703239254653, -0.003743778681382537, 0, 0, 0, 0, 0, 0, 0
712468, 22.024700164794922, -0.8836798667907715, 0.003850721288472414, 0.0025091676507145166, 0.0021771907340735197, -0.0038567758165299892, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712478, 22.02471160888672, -0.8832992911338806, 0.00381100014783442, 0.002353416522964835, 0.004670712631195784, -0.0037677849177271128, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712488, 22.024700164794922, -0.8838660717010498, 0.003780745668336749, 0.002167152240872383, 0.00133822753559798, -0.003744720946997404, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712498, 22.02467918395996, -0.8846240043640137, 0.003856557421386242, 0.0020320210605859756, -0.003224377753213048, -0.0032937636133283377, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712508, 22.024700164794922, -0.8836889266967773, 0.0038315318524837494, 0.0018783145351335406, 0.0025502205826342106, -0.0031887185759842396, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712518, 22.024709701538086, -0.8833182454109192, 0.0037981634959578514, 0.0017474922351539135, 0.004700528457760811, -0.003202421125024557, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712528, 22.02469825744629, -0.8836876153945923, 0.0037702713161706924, 0.001640933332964778, 0.002228561555966735, -0.0031756609678268433, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712538, 22.024715423583984, -0.8836643099784851, 0.0037391381338238716, 0.001789288828149438, 0.0024291477166116238, -0.0030506036709994078, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712548, 22.024723052978516, -0.8832750916481018, 0.003819087753072381, 0.001797351986169815, 0.004763447679579258, -0.0023556577507406473, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712558, 22.02474021911621, -0.8832272887229919, 0.0037961010821163654, 0.0017064644489437342, 0.004793550353497267, -0.002241277601569891, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712568, 22.024734497070312, -0.8834313154220581, 0.0037753654178231955, 0.0016140206716954708, 0.0032179022673517466, -0.002295178361237049, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712578, 22.02471923828125, -0.8838331699371338, 0.003753800643607974, 0.0015487014316022396, 0.0005106856697238982, -0.002440971788018942, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712588, 22.024696350097656, -0.884630024433136, 0.003727722680196166, 0.0016523858066648245, -0.0044082761742174625, -0.002591626485809684, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712598, 22.024703979492188, -0.8840386867523193, 0.004271530080586672, 0.0017269236268475652, -0.000505771313328296, 0.00042240647599101067, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712608, 22.02468490600586, -0.8848336338996887, 0.0042736041359603405, 0.0015441669384017587, -0.005249932873994112, 0.00026881968369707465, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712618, 22.02469825744629, -0.8844461441040039, 0.004280359949916601, 0.001217590062879026, -0.0026609597261995077, 9.248311107512563e-05, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
712628, 22.02471160888672, -0.8844727873802185, 0.00428082887083292, 0.0013314586831256747, -0.002670318353921175, 1.700675397842133e-06, 0, 0, 0, 0.0, 0.0, 0.0, 0.0
