timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, yaw, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
1016621, 0.0, 0.0, 93.6358413696289, 0.0, 0.0, 0.23040771484375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1016631, 0.0, 0.0, 93.64119720458984, 0.0, 0.0, 0.53558349609375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49120807647705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016641, 0.0, 0.0, 93.64601135253906, 0.0, 0.0, 0.481414794921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490950584411621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016651, 0.0, 0.0, 93.64378356933594, 0.0, 0.0, -0.2227783203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490224838256836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016661, 0.0, 0.0, 93.64177703857422, 0.0, 0.0, -0.200653076171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49185848236084, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016671, 0.0, 0.0, 93.6355972290039, 0.0, 0.0, -0.61798095703125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49229907989502, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016681, 0.0, 0.0, 93.63003540039062, 0.0, 0.0, -0.556182861328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492425918579102, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016691, 0.0, 0.0, 93.63214111328125, 0.0, 0.0, 0.2105712890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49102783203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016701, 0.0, 0.0, 93.634033203125, 0.0, 0.0, 0.189208984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491408348083496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016711, 0.0, 0.0, 93.6302719116211, 0.0, 0.0, -0.376129150390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490492820739746, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016721, 0.0, 0.0, 93.62688446044922, 0.0, 0.0, -0.3387451171875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492080688476562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016731, 0.0, 0.0, 93.62712097167969, 0.0, 0.0, 0.023651123046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492043495178223, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016741, 0.0, 0.0, 93.62733459472656, 0.0, 0.0, 0.0213623046875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491364479064941, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016751, 0.0, 0.0, 93.6231460571289, 0.0, 0.0, -0.418853759765625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.492105484008789, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016761, 0.0, 0.0, 93.61937713623047, 0.0, 0.0, -0.37689208984375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491798400878906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016771, 0.0, 0.0, 93.61708068847656, 0.0, 0.0, -0.229644775390625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491943359375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016781, 0.0, 0.0, 93.6150131225586, 0.0, 0.0, -0.206756591796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490732192993164, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016791, 0.0, 0.0, 93.60713958740234, 0.0, 0.0, -0.787353515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.49190616607666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016801, 0.0, 0.0, 93.60005187988281, 0.0, 0.0, -0.708770751953125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490655899047852, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016811, 0.0, 0.0, 93.60023498535156, 0.0, 0.0, 0.018310546875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.490734100341797, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1016821, 0.0, 0.0, 93.60039520263672, 0.0, 0.0, 0.016021728515625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -10.491634368896484, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
