timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
701946, 0.0, 0.0, 94.38117980957031, 0.0, 0.0, 0.63629150390625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
701956, 0.0, 0.0, 94.37815856933594, 0.0, 0.0, -0.3021240234375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
701966, 0.0, 0.0, 94.37544250488281, 0.0, 0.0, -0.2716064453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
701976, 0.0, 0.0, 94.375732421875, 0.0, 0.0, 0.02899169921875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
701986, 0.0, 0.0, 94.37599182128906, 0.0, 0.0, 0.02593994140625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
701996, 0.0, 0.0, 94.37677001953125, 0.0, 0.0, 0.07781982421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702006, 0.0, 0.0, 94.37747192382812, 0.0, 0.0, 0.0701904296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702016, 0.0, 0.0, 94.36881256103516, 0.0, 0.0, -0.865936279296875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702026, 0.0, 0.0, 94.36101531982422, 0.0, 0.0, -0.77972412109375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702036, 0.0, 0.0, 94.35563659667969, 0.0, 0.0, -0.537872314453125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702046, 0.0, 0.0, 94.35079956054688, 0.0, 0.0, -0.48370361328125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702056, 0.0, 0.0, 94.3568344116211, 0.0, 0.0, 0.603485107421875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702066, 0.0, 0.0, 94.36226654052734, 0.0, 0.0, 0.543212890625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702076, 0.0, 0.0, 94.36605834960938, 0.0, 0.0, 0.379180908203125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702086, 0.0, 0.0, 94.36947631835938, 0.0, 0.0, 0.341796875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
702096, 0.0, 0.0, 94.36817169189453, 0.0, 0.0, -0.130462646484375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
