timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, roll, pitch, laserFront
433914, -0.06727860867977142, -0.2670793831348419, 0.1398490071296692, -0.010224910452961922, 0.004694838542491198, 0.21211937069892883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
433934, -0.0675092563033104, -0.26702040433883667, 0.1456242948770523, -0.009475954808294773, 0.004628921393305063, 0.23411189019680023, 157633.140625, 122451.5546875, 157748.765625, 150042.453125, 142142.015625, 160601.734375, 42524.0, 44862.0, 45761.0, 43598.0, 0.018497053533792496, -0.2091148942708969, 32766.0
433954, -0.06842238456010818, -0.26682597398757935, 0.15043047070503235, -0.0071426620706915855, 0.004360259976238012, 0.24485954642295837, 157633.140625, 122451.5546875, 157748.765625, 150050.53125, 142149.34375, 160601.734375, 42470.0, 43798.0, 44843.0, 43665.0, 0.01544041745364666, -0.26494863629341125, 32766.0
433974, -0.06854470819234848, -0.26673534512519836, 0.1552564799785614, -0.005038412753492594, 0.004337839782238007, 0.25531280040740967, 157633.140625, 122451.5546875, 157748.765625, 150054.875, 142148.65625, 160592.265625, 42649.0, 42269.0, 43793.0, 44424.0, 0.008160058408975601, -0.47978565096855164, 32766.0
433994, -0.06861049681901932, -0.26664894819259644, 0.16044174134731293, -0.0013016483280807734, 0.004294489976018667, 0.2621275782585144, 157633.140625, 122451.5546875, 157748.765625, 150046.1875, 142150.40625, 160585.3125, 43070.0, 41564.0, 42597.0, 44630.0, 0.0033421902917325497, -0.9074670076370239, 32766.0
434014, -0.06857001036405563, -0.2665722370147705, 0.16626951098442078, 0.004552541300654411, 0.0041823964565992355, 0.27021533250808716, 157633.140625, 122451.5546875, 157748.765625, 150047.421875, 142142.703125, 160602.265625, 43315.0, 40699.0, 41723.0, 44584.0, 0.015815608203411102, -1.4954359531402588, 32766.0
434034, -0.06840355694293976, -0.2664899230003357, 0.17167986929416656, 0.012334832921624184, 0.004050875082612038, 0.27040815353393555, 157633.140625, 122451.5546875, 157748.765625, 150046.8125, 142149.34375, 160599.765625, 42910.0, 39753.0, 41704.0, 44967.0, 0.02681284211575985, -2.1182143688201904, 32766.0
434054, -0.06806230545043945, -0.26640963554382324, 0.1770925372838974, 0.02203930914402008, 0.003992989659309387, 0.27129173278808594, 157633.140625, 122451.5546875, 157748.765625, 150053.640625, 142154.25, 160597.8125, 42596.0, 39466.0, 41298.0, 44655.0, 0.006206957623362541, -2.687445878982544, 32766.0
434074, -0.06745270639657974, -0.26634255051612854, 0.18374650180339813, 0.032923623919487, 0.0040208217687904835, 0.2730358839035034, 157633.140625, 122451.5546875, 157748.765625, 150048.671875, 142154.25, 160594.765625, 42695.0, 39488.0, 40833.0, 44200.0, -0.029718168079853058, -3.1493489742279053, 32766.0
434094, -0.0666775032877922, -0.26626187562942505, 0.18914906680583954, 0.04472167789936066, 0.004039473365992308, 0.2676179111003876, 157633.140625, 122451.5546875, 157748.765625, 150051.78125, 142154.9375, 160602.8125, 42664.0, 39038.0, 40482.0, 43833.0, -0.03389532491564751, -3.4792182445526123, 32766.0
434114, -0.06620120257139206, -0.26614999771118164, 0.18943050503730774, 0.05695425346493721, 0.004011601209640503, 0.2346716821193695, 157633.140625, 122451.5546875, 157748.765625, 150051.15625, 142154.9375, 160602.265625, 42688.0, 39317.0, 40209.0, 43373.0, -0.015331876464188099, -3.704922676086426, 32766.0
434134, -0.06493567675352097, -0.26607170701026917, 0.19403281807899475, 0.06962542235851288, 0.0038015341851860285, 0.22549201548099518, 157633.140625, 122451.5546875, 157748.765625, 150049.921875, 142158.4375, 160599.765625, 43224.0, 39518.0, 40908.0, 44035.0, 0.03108009696006775, -3.857152223587036, 32766.0
434154, -0.06369929015636444, -0.2659931480884552, 0.1967213749885559, 0.08241672813892365, 0.0034867788199335337, 0.20650367438793182, 157633.140625, 122451.5546875, 157748.765625, 150059.84375, 142159.140625, 160614.78125, 43332.0, 39851.0, 41116.0, 43799.0, 0.06940897554159164, -3.9448015689849854, 32766.0
434174, -0.061919309198856354, -0.2659274935722351, 0.200789213180542, 0.09552256017923355, 0.0030840469989925623, 0.1995917409658432, 157633.140625, 122451.5546875, 157748.765625, 150064.8125, 142162.28125, 160597.8125, 43376.0, 40189.0, 41717.0, 44099.0, 0.10385182499885559, -3.9682533740997314, 32766.0
434194, -0.059949930757284164, -0.2658699154853821, 0.2044346034526825, 0.10852392762899399, 0.002633343916386366, 0.19259074330329895, 157633.140625, 122451.5546875, 157748.765625, 150064.203125, 142159.828125, 160602.8125, 42870.0, 40446.0, 42437.0, 44003.0, 0.11583863943815231, -3.9291398525238037, 32766.0
434214, -0.05765252932906151, -0.26582252979278564, 0.20824596285820007, 0.12110433727502823, 0.002097437856718898, 0.18792030215263367, 157633.140625, 122451.5546875, 157748.765625, 150064.203125, 142164.03125, 160605.859375, 43127.0, 41242.0, 42317.0, 43245.0, 0.1392819732427597, -3.801374912261963, 32766.0
