Timestamp,app.PreprocessWhisker1_1,app.PreprocessWhisker1_2,app.PreprocessWhisker1_3,app.PreprocessWhisker2_1,app.PreprocessWhisker2_2,app.PreprocessWhisker2_3,app.stateInnerLoop,app.stateOuterLoop
123910,0,0,0,0,0,0,0,1
123930,0,0,0,0,0,0,0,1
123950,0,0,0,0,0,0,0,1
123970,0,0,0,0,0,0,0,1
123990,0,0,0,0,0,0,0,1
124010,0,0,0,0,0,0,0,1
124030,0,0,0,0,0,0,0,1
124050,0,0,0,0,0,0,0,1
124070,0,0,0,0,0,0,0,1
124090,0,0,0,0,0,0,0,1
124110,0,0,0,0,0,0,0,1
124130,0,0,0,0,0,0,0,1
124150,0,0,0,0,0,0,0,1
124170,0,0,0,0,0,0,0,1
124190,0,0,0,0,0,0,0,1
124210,0,0,0,0,0,0,0,1
124230,0,0,0,0,0,0,0,1
124250,0,0,0,0,0,0,0,1
124270,0,0,0,0,0,0,0,1
124290,0,0,0,0,0,0,0,1
124310,0,0,0,0,0,0,0,1
124330,0,0,0,0,0,0,0,1
124350,0,0,0,0,0,0,0,1
124370,0,0,0,0,0,0,0,1
124390,0,0,0,0,0,0,0,1
124410,0,0,0,0,0,0,0,1
124430,0,0,0,0,0,0,0,1
124450,0,0,0,0,0,0,0,1
124470,0,0,0,0,0,0,0,1
124490,0,0,0,0,0,0,0,1
124510,0,0,0,0,0,0,0,1
124530,0,0,0,0,0,0,0,1
124550,0,0,0,0,0,0,0,1
124570,0,0,0,0,0,0,0,1
124590,0,0,0,0,0,0,0,1
124610,0,0,0,0,0,0,0,1
124630,0,0,0,0,0,0,0,1
124650,0,0,0,0,0,0,0,1
124670,0,0,0,0,0,0,0,1
124690,0,0,0,0,0,0,0,1
124710,0,0,0,0,0,0,0,1
124730,0,0,0,0,0,0,0,1
124750,0,0,0,0,0,0,0,1
124770,0,0,0,0,0,0,0,1
124790,0,0,0,0,0,0,0,1
124810,0,0,0,0,0,0,0,1
124830,0,0,0,0,0,0,0,1
124850,0,0,0,0,0,0,0,1
124870,0,0,0,0,0,0,0,1
124890,0,0,0,0,0,0,0,1
124910,0,0,0,0,0,0,0,1
124930,0,0,0,0,0,0,0,1
124950,0,0,0,0,0,0,0,1
124970,0,0,0,0,0,0,0,1
124990,0,0,0,0,0,0,0,1
125010,0,0,0,0,0,0,0,1
125030,0,0,0,0,0,0,0,1
125050,0,0,0,0,0,0,0,1
125070,0,0,0,0,0,0,0,1
125090,0,0,0,0,0,0,0,1
125110,0,0,0,0,0,0,0,1
125130,0,0,0,0,0,0,0,1
125150,0,0,0,0,0,0,0,1
125170,0,0,0,0,0,0,0,1
125190,0,0,0,0,0,0,0,1
125210,0,0,0,0,0,0,0,1
125230,0,0,0,0,0,0,0,1
125250,0,0,0,0,0,0,0,1
125270,0,0,0,0,0,0,0,1
125290,0,0,0,0,0,0,0,1
125310,0,0,0,0,0,0,0,1
125330,0,0,0,0,0,0,0,1
125350,0,0,0,0,0,0,0,1
125370,0,0,0,0,0,0,0,1
125390,0,0,0,0,0,0,0,1
125410,0,0,0,0,0,0,0,1
125430,0,0,0,0,0,0,0,1
125450,0,0,0,0,0,0,0,1
125470,0,0,0,0,0,0,0,1
125490,0,0,0,0,0,0,0,1
125510,0,0,0,0,0,0,0,1
125530,0,0,0,0,0,0,0,1
125550,0,0,0,0,0,0,0,1
125570,0,0,0,0,0,0,0,1
125590,0,0,0,0,0,0,0,1
125610,0,0,0,0,0,0,0,1
125630,0,0,0,0,0,0,0,1
125650,0,0,0,0,0,0,0,1
125670,0,0,0,0,0,0,0,1
125690,0,0,0,0,0,0,0,1
125710,0,0,0,0,0,0,0,1
125730,0,0,0,0,0,0,0,1
125750,0,0,0,0,0,0,0,1
125770,0,0,0,0,0,0,0,1
125790,0,0,0,0,0,0,0,1
125810,0,0,0,0,0,0,0,1
