Timestamp,Whisker.Barometer1_1,Whisker.Barometer1_2,Whisker.Barometer1_3,Whisker1.Barometer2_1,Whisker1.Barometer2_2,Whisker1.Barometer2_3
123913,114225.9921875,149028.28125,90227.828125,111482.3125,137408.375,96628.078125
123933,114223.1171875,149027.828125,90234.8515625,111487.3515625,137411.703125,96621.53125
123953,114220.953125,149032.90625,90239.125,111487.3515625,137415.71875,96630.09375
123973,114220.2109375,149028.734375,90228.203125,111491.640625,137419.234375,96627.578125
123993,114226.703125,149025.96875,90230.9453125,111490.8828125,137413.453125,96632.109375
124013,114225.2421875,149030.59375,90226.2578125,111492.328125,137408.375,96636.8984375
124033,114230.3203125,149034.765625,90228.203125,111498.7578125,137417.46875,96622.7890625
124053,114234.640625,149028.28125,90230.15625,111502.3515625,137417.46875,96634.8828125
124073,114232.484375,149025.96875,90232.109375,111491.640625,137420.265625,96634.8828125
124093,114231.7734375,149032.453125,90228.9921875,111482.3125,137420.265625,96636.140625
124113,114228.8671875,149022.25,90234.0625,111479.4765625,137412.21875,96634.8828125
124133,114216.59375,149030.140625,90228.203125,111479.4765625,137419.75,96631.1015625
124153,114231.7734375,149024.109375,90222.3515625,111485.2109375,137412.921875,96636.8984375
124173,114225.2421875,149025.96875,90234.0625,111479.4765625,137413.96875,96631.6015625
124193,114226.703125,149025.96875,90225.09375,111486.6015625,137423.59375,96636.8984375
124213,114228.8671875,149027.828125,90220.0234375,111490.1875,137413.96875,96638.15625
124233,114228.15625,149026.859375,90223.140625,111503.1015625,137412.921875,96636.8984375
124253,114230.3203125,149032.90625,90215.3359375,111498.7578125,137415.71875,96636.390625
124273,114229.5703125,149028.28125,90218.453125,111497.3125,137413.96875,96645.4609375
124293,114229.609375,149032.453125,90212.21875,111491.578125,137408.90625,96638.9140625
124313,114228.15625,149030.59375,90216.125,111495.921875,137418,96644.953125
124333,114230.3203125,149022.25,90217.2890625,111488.7421875,137408.90625,96639.6640625
124353,114222.375,149034.765625,90212.59375,111485.1484375,137422.546875,96638.9140625
124373,114224.5390625,149021.796875,90213.3828125,111490.1875,137422.03125,96642.9375
124393,114233.9375,149028.734375,90212.59375,111488.7421875,137419.75,96640.921875
124413,114228.15625,149028.734375,90212.21875,111488.7421875,137416.25,96644.953125
124433,114223.1171875,149033.34375,90210.2734375,111492.328125,137413.453125,96642.4375
124453,114229.5703125,149033.34375,90201.6796875,111489.4921875,137412.921875,96640.921875
124473,114230.3203125,149031.03125,90199.7265625,111495.1640625,137418,96637.6484375
124493,114226.703125,149026.421875,90199.7265625,111500.8984375,137415.71875,96636.390625
124513,114226.703125,149028.734375,90209.484375,111491.578125,137419.75,96646.96875
124533,114229.5703125,149031.03125,90205.578125,111493.0234375,137414.484375,96647.7265625
124553,114224.5390625,149037.515625,90204.421875,111488.046875,137422.546875,96643.6953125
124573,114224.5390625,149028.734375,90202.46875,111492.328125,137419.046875,96643.6953125
124593,114231.0234375,149033.796875,90199.7265625,111490.8828125,137416.765625,96649.7421875
124613,114232.484375,149028.734375,90200.515625,111486.6015625,137420.796875,96642.4375
124633,114220.921875,149033.796875,90198.5625,111490.8828125,137420.265625,96648.984375
124653,114228.15625,149025,90197.78125,111488.046875,137412.21875,96644.453125
124673,114227.40625,149039.828125,90193.5,111493.0234375,137413.96875,96648.484375
124693,114236.8046875,149035.65625,90195.828125,111496.6171875,137413.453125,96644.453125
124713,114236.8046875,149035.203125,90198.9375,111493.0234375,137420.796875,96651
124733,114220.921875,149039.828125,90194.6640625,111497.3125,137424.296875,96654.53125
124753,114229.5703125,149034.25,90193.875,111494.4765625,137426.578125,96641.6796875
124773,114225.2421875,149031.484375,90186.484375,111497.3125,137413.96875,96645.7109375
124793,114231.0234375,149031.9375,90188.0234375,111488.046875,137423.0625,96652.265625
124813,114236.8046875,149040.28125,90194.6640625,111485.90625,137409.9375,96650.5
124833,114225.2421875,149037.96875,90191.546875,111489.4375,137420.796875,96649.234375
124853,114236.8046875,149029.171875,90184.9140625,111486.6015625,137416.765625,96650.5
124873,114229.5703125,149035.65625,90187.6484375,111488.7421875,137411.703125,96647.7265625
124893,114233.1875,149042.140625,90179.0546875,111488.7421875,137419.75,96651.25
124913,114231.734375,149035.65625,90182.9609375,111491.578125,137423.0625,96651.7578125
124933,114236.8046875,149031.484375,90171.2578125,111489.4375,137422.546875,96649.7421875
124953,114225.2421875,149043.046875,90175.15625,111493.0234375,137416.765625,96655.7890625
124973,114227.40625,149036.5625,90177.109375,111488.7421875,137416.765625,96655.7890625
124993,114229.5703125,149033.34375,90172.046875,111490.8828125,137413.96875,96650.5
125013,114229.5703125,149033.34375,90177.109375,111495.921875,137420.796875,96652.515625
125033,114228.1171875,149031.9375,90175.9453125,111495.1640625,137414.484375,96654.53125
125053,114224.5390625,149038.421875,90179.0546875,111493.0234375,137420.265625,96656.546875
125073,114231.0234375,149027.3125,90171.2578125,111493.0234375,137414.484375,96657.296875
125093,114233.1875,149037.96875,90170.09375,111485.90625,137422.546875,96660.578125
125113,114231.0234375,149036.5625,90173.203125,111490.8828125,137419.75,96660.578125
125133,114237.515625,149046.3125,90165.40625,111486.6015625,137420.265625,96657.8046875
125153,114231.734375,149040.734375,90168.9296875,111491.578125,137419.5625,96654.53125
125173,114232.4453125,149034.25,90170.09375,111486.6015625,137419.046875,96665.109375
125193,114226.6640625,149045.796875,90161.5078125,111494.4765625,137420.265625,96660.0703125
125213,114225.2421875,149032.390625,90161.5078125,111486.6015625,137415.71875,96661.8359375
125233,114225.2421875,149038.875,90166.1953125,111495.859375,137420.796875,96657.296875
125253,114225.953125,149040.734375,90160.34375,111494.4140625,137420.796875,96660.578125
125273,114222.3359375,149040.734375,90166.984375,111490.1875,137413.96875,96659.8203125
125293,114233.1875,149041.625,90148.640625,111497.3125,137423.0625,96660.578125
125313,114233.15625,149042.59375,90163.078125,111486.6015625,137420.796875,96658.5625
125333,114229.5703125,149040.734375,90155.28125,111503.046875,137419.046875,96660.578125
125353,114237.4765625,149038.875,90163.453125,111491.578125,137421.3125,96656.546875
125373,114230.28125,149034.703125,90160.34375,111491.578125,137421.3125,96665.8671875
125393,114233.8984375,149038.875,90156.0703125,111494.4765625,137425.34375,96660.578125
125413,114232.484375,149031.484375,90153.703125,111493.0234375,137415.015625,96662.59375
125433,114227.40625,149047.21875,90154.4921875,111494.4140625,137421.3125,96662.0859375
125453,114228.1171875,149042.59375,90153.703125,111487.296875,137417.28125,96663.34375
125473,114228.1171875,149038.875,90152.1640625,111498.7578125,137421.3125,96662.59375
125493,114223.7890625,149038.875,90152.1640625,111494.4140625,137416.765625,96664.609375
125513,114225.953125,149040.28125,90145.53125,111493.0234375,137417.28125,96663.8515625
125533,114225.2421875,149044.90625,90150.21875,111492.2734375,137424.296875,96661.328125
125553,114221.625,149038.421875,90143.578125,111491.578125,137424.8125,96667.375
125573,114221.625,149035.15625,90148.640625,111490.1328125,137421.3125,96666.1171875
125593,114223.7890625,149040.734375,90134.9921875,111492.2734375,137422.546875,96671.9140625
125613,114221.625,149046.25,90137.7265625,111488.7421875,137419.5625,96669.390625
125633,114220.171875,149045.359375,90137.7265625,111495.109375,137425.34375,96667.375
125653,114222.3359375,149041.1875,90145.53125,111498.6953125,137425.34375,96658.0546875
125673,114220.171875,149047.65625,90136.5625,111489.4375,137417.28125,96665.359375
125693,114230.28125,149034.703125,90130.7109375,111500.1484375,137417.8125,96664.1015625
125713,114225.2421875,149037.453125,90127.9765625,111500.1484375,137424.8125,96667.8828125
125733,114230.28125,149039.328125,90130.296875,111492.328125,137421.84375,96668.8828125
125753,114223.7890625,149043.046875,90133.828125,111492.2734375,137423.0625,96668.6328125
125773,114226.6640625,149039.328125,90128.390625,111493.0234375,137423.0625,96668.6328125
125793,114233.15625,149045.796875,90128.765625,111492.2734375,137419.046875,96669.390625
125813,114221.625,149047.21875,90129.9296875,111493.71875,137415.015625,96670.1484375
125833,114228.1171875,149043.484375,90127.6015625,111490.8828125,137423.59375,96671.40625
125853,114225.953125,149043.484375,90129.140625,111491.578125,137416.25,96673.421875
125873,114222.3359375,149038.875,90122.125,111497.3125,137421.3125,96674.6796875
125893,114224.5,149041.1875,90126.0234375,111492.2734375,137413.265625,96670.1484375
125913,114226.6640625,149037.453125,90122.125,111493.71875,137419.5625,96668.1328125
125933,114226.6640625,149041.1875,90120.1796875,111493.71875,137425.859375,96666.625
125953,114221.625,149037.453125,90115.1171875,111494.4140625,137424.109375,96671.40625
125973,114220.171875,149042.078125,90122.9140625,111500.84375,137421.3125,96674.1796875
125993,114226.6640625,149040.28125,90120.96875,111494.4140625,137413.265625,96674.1796875
126013,114228.828125,149041.1875,90117.0625,111500.84375,137412.734375,96667.375
126033,114231.734375,149047.65625,90113.953125,111497.25,137418.515625,96670.8984375
126053,114224.5,149039.328125,90117.8515625,111495.1640625,137419.5625,96672.6640625
126073,114221.59375,149045.796875,90118.640625,111495.859375,137416.25,96681.484375
126093,114226.6640625,149043.9375,90108.890625,111493.71875,137423.59375,96674.1796875
126113,114224.5,149041.625,90115.90625,111494.4140625,137425.859375,96672.9140625
126133,114228.828125,149043.046875,90117.8515625,111495.859375,137417.28125,96670.1484375
126153,114230.28125,149043.9375,90110.0546875,111495.109375,137422.359375,96680.7265625
126173,114228.828125,149048.5625,90106.15625,111496.5546875,137412.734375,96674.9296875
126193,114223.046875,149048.109375,90106.15625,111498.6953125,137423.59375,96680.2265625
