timestamp,whisker1_1,whisker2_2
1714403243.7521725,0,0
1714403243.7623808,0,0
1714403243.7726266,0,0
1714403243.7828467,0,0
1714403243.7930653,0,0
1714403243.8033078,0,0
1714403243.8137088,0,0
1714403243.8239589,0,0
1714403243.8341775,0,0
1714403243.8444068,0,0
1714403243.8548014,0,0
1714403243.865024,0,0
1714403243.8752587,0,0
1714403243.8854797,0,0
1714403243.8957253,0,0
1714403243.9059732,0,0
1714403243.9162076,0,0
1714403243.926587,0,0
1714403243.936811,0,0
1714403243.947049,0,0
1714403243.9572904,0,0
1714403243.967514,0,0
1714403243.9777431,0,0
1714403243.9879713,0,0
1714403243.99832,0,0
1714403244.0085359,0,0
1714403244.0189521,0,0
1714403244.0291777,0,0
1714403244.0394027,0,0
1714403244.0496447,0,0
1714403244.059878,0,0
1714403244.0701141,0,0
1714403244.0803487,0,0
1714403244.0905902,0,0
1714403244.1008115,0,0
1714403244.111029,0,0
1714403244.1212652,0,0
1714403244.1314905,0,0
1714403244.1417394,0,0
1714403244.152077,0,0
1714403244.1623075,0,0
1714403244.172534,0,0
1714403244.1827726,0,0
1714403244.192998,0,0
1714403244.2032309,0,0
1714403244.2136474,0,0
1714403244.2240095,0,0
1714403244.2342288,0,0
1714403244.2444468,0,0
1714403244.2546697,0,0
1714403244.2648919,0,0
1714403244.2751222,0,0
1714403244.285387,0,0
1714403244.2956672,0,0
1714403244.305895,0,0
1714403244.3161387,0,0
1714403244.3263574,0,0
1714403244.3365765,0,0
1714403244.3468075,0,0
1714403244.3569353,0,0
1714403244.3671913,0,0
1714403244.37745,0,0
1714403244.3877978,0,0
1714403244.3980222,0,0
1714403244.4083164,0,0
1714403244.4185472,0,0
1714403244.428745,0,0
1714403244.4389877,0,0
1714403244.4492028,0,0
1714403244.459429,0,0
1714403244.4701006,0,0
1714403244.4803143,0,0
1714403244.4906526,0,0
1714403244.5008981,0,0
1714403244.511139,0,0
1714403244.5213635,0,0
1714403244.5316055,0,0
1714403244.5418484,0,0
1714403244.5520744,0,0
1714403244.562421,0,0
1714403244.5726404,0,0
1714403244.5828698,0,0
1714403244.5931332,0,0
1714403244.6033397,0,0
1714403244.613548,0,0
1714403244.6237936,0,0
1714403244.6340823,0,0
1714403244.6443145,0,0
1714403244.654547,0,0
1714403244.6651287,0,0
1714403244.6754014,0,0
1714403244.6856468,0,0
1714403244.6959136,0,0
