timestamp,whisker1_1,whisker2_2
1714396622.5480213,0,0
1714396622.5582743,0,0
1714396622.5686495,0,0
1714396622.5788624,0,0
1714396622.58925,0,0
1714396622.5994864,0,0
1714396622.6098475,0,0
1714396622.620093,0,0
1714396622.6302786,0,0
1714396622.6404665,0,0
1714396622.6506064,0,0
1714396622.660684,0,0
1714396622.670849,0,0
1714396622.6809464,0,0
1714396622.69148,0,0
1714396622.7017577,0,0
1714396622.7119856,0,0
1714396622.7222466,0,0
1714396622.732497,0,0
1714396622.7427301,0,0
1714396622.753079,0,0
1714396622.763318,0,0
1714396622.7735612,0,0
1714396622.7837942,0,0
1714396622.794025,0,0
1714396622.8043783,0,0
1714396622.8146086,0,0
1714396622.8248284,0,0
1714396622.8354323,0,0
1714396622.8456633,0,0
1714396622.8558958,0,0
1714396622.866132,0,0
1714396622.8763707,0,0
1714396622.8866067,0,0
1714396622.896841,0,0
1714396622.9070685,0,0
1714396622.91723,0,0
1714396622.9274542,0,0
1714396622.9376793,0,0
1714396622.9479027,0,0
1714396622.9581358,0,0
1714396622.9683776,0,0
1714396622.978599,0,0
1714396622.9889402,0,0
1714396622.9992952,0,0
1714396623.0095265,0,0
1714396623.0197487,0,0
1714396623.030165,0,0
1714396623.0403938,0,0
1714396623.0506215,0,0
1714396623.0608616,0,0
1714396623.0710957,0,0
1714396623.0812752,0,0
1714396623.091507,0,0
1714396623.1017323,0,0
1714396623.1121829,0,0
1714396623.1224632,0,0
1714396623.1326873,0,0
1714396623.1429267,0,0
1714396623.1531682,0,0
1714396623.1634116,0,0
1714396623.1736455,0,0
1714396623.184008,0,0
1714396623.1942415,0,0
1714396623.2044864,0,0
1714396623.2147162,0,0
1714396623.224951,0,0
1714396623.235196,0,0
1714396623.2454395,0,0
1714396623.2557077,0,0
1714396623.2659373,0,0
1714396623.2761695,0,0
1714396623.2864065,0,0
1714396623.2966516,0,0
1714396623.3070269,0,0
1714396623.317262,0,0
1714396623.3274992,0,0
1714396623.3379786,0,0
1714396623.3482149,0,0
1714396623.3584425,0,0
1714396623.368674,0,0
1714396623.3790371,0,0
1714396623.3892002,0,0
