timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, laserHeight, flowX, flowY, ext_pos_X,ext_pos_Y,ext_pos_Z, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
294618, 0.31984201073646545, -1.617691993713379, -0.27126508951187134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
294627, 0.9496166110038757, -2.3064334392547607, -12.103368759155273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 4.0, 1.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0
294637, 1.7611925601959229, -2.365330696105957, -12.130568504333496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 1.0, -1.0, 0.0, 0.0, 0.0, -0.03256051987409592, -0.4026382267475128, 0.016537083312869072, 0.012960445135831833, -0.04208415001630783, 0.0017925668507814407
294648, 2.077162742614746, -2.475525140762329, -12.146151542663574, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 1.0, 0.0, 0.0, 0.0, -0.03424118086695671, -0.4050031304359436, 0.01657492108643055, 0.01399980578571558, -0.05694634094834328, 0.002326936461031437
294657, 2.1951165199279785, -2.554781675338745, -12.183537483215332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, -2.0, 0.0, 0.0, 0.0, -0.034882307052612305, -0.40624821186065674, 0.0160541795194149, 0.018547791987657547, -0.06274376064538956, 8.530027844244614e-05
294667, 2.2864456176757812, -2.622591257095337, -12.157698631286621, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.035043321549892426, -0.40698155760765076, 0.01610255427658558, 0.02011210285127163, -0.06219171732664108, 0.0008761583594605327
294677, 2.485339879989624, -2.7049834728240967, -12.180179595947266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 1.0, 3.0, 0.0, 0.0, 0.0, -0.035474635660648346, -0.4078066349029541, 0.016147688031196594, 0.02068428322672844, -0.06968953460454941, 0.0015425391029566526
294687, 2.4107987880706787, -2.728724241256714, -12.176520347595215, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -1.0, 1.0, 0.0, 0.0, 0.0, -0.035666704177856445, -0.40846773982048035, 0.01622224785387516, 0.021142635494470596, -0.070818230509758, 0.0022984470706433058
294698, 2.44759464263916, -2.765831708908081, -12.152939796447754, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.03567612171173096, -0.40899908542633057, 0.016194986179471016, 0.0239833015948534, -0.07344624400138855, 0.002414260059595108
294709, 2.4210522174835205, -2.8471415042877197, -12.132814407348633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 4.0, -4.0, 0.0, 0.0, 0.0, -0.03556501120328903, -0.4095592200756073, 0.01641516573727131, 0.030444303527474403, -0.07659927755594254, 0.003894955851137638
294717, 2.490201473236084, -2.8975119590759277, -12.121830940246582, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -3.0, 0.0, 0.0, 0.0, 0.0, -0.03556268662214279, -0.40987780690193176, 0.016520420089364052, 0.030992699787020683, -0.07531843334436417, 0.004767536651343107
294727, 2.498699903488159, -2.890838623046875, -12.132875442504883, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.035468313843011856, -0.41030260920524597, 0.016630282625555992, 0.03197269141674042, -0.07348274439573288, 0.00566962081938982
294738, 2.54160737991333, -2.8928396701812744, -12.128177642822266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035443540662527084, -0.41092169284820557, 0.01659553125500679, 0.03326031565666199, -0.07751341909170151, 0.005653057713061571
294749, 2.564460515975952, -2.908742666244507, -12.120821952819824, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -4.0, 2.0, 0.0, 0.0, 0.0, -0.035480283200740814, -0.4111384153366089, 0.016535354778170586, 0.03231936693191528, -0.07539848983287811, 0.005527875851839781
294757, 2.5638208389282227, -2.958374261856079, -12.144095420837402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 3.0, 0.0, 0.0, 0.0, 0.0, -0.03550069034099579, -0.4116562306880951, 0.01652764342725277, 0.032933373004198074, -0.07798978686332703, 0.005871082190424204
294768, 2.5360631942749023, -3.0030133724212646, -12.12850284576416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, 4.0, -1.0, 0.0, 0.0, 0.0, -0.03538481146097183, -0.4122615158557892, 0.016508668661117554, 0.0358753576874733, -0.08158399909734726, 0.00612214021384716
294778, 2.5748417377471924, -2.9670631885528564, -12.112883567810059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 16.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.035470638424158096, -0.4117644727230072, 0.016603145748376846, 0.03385346382856369, -0.07685700058937073, 0.0066283997148275375
294787, 2.480466842651367, -3.0345382690429688, -12.126311302185059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 2.0, 0.0, 0.0, 0.0, -0.035564180463552475, -0.4120790958404541, 0.016713039949536324, 0.032783184200525284, -0.07674279808998108, 0.007325087208300829
294798, 2.5367417335510254, -2.9912033081054688, -12.108768463134766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -5.0, 0.0, 0.0, 0.0, 0.0, -0.0354289785027504, -0.4119793474674225, 0.016305068507790565, 0.033297862857580185, -0.07118213921785355, 0.00495339697226882
294807, 2.560724973678589, -2.992722988128662, -12.094895362854004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 4.0, -2.0, 0.0, 0.0, 0.0, -0.03535272553563118, -0.4124619662761688, 0.01625818945467472, 0.0354313887655735, -0.07520927488803864, 0.004946575500071049
294817, 2.6339151859283447, -3.0042290687561035, -12.080361366271973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 2.0, 0.0, 0.0, 0.0, -0.035474974662065506, -0.4126458168029785, 0.01634301245212555, 0.03358036279678345, -0.0754876360297203, 0.00589374965056777
294828, 2.4968318939208984, -3.056208848953247, -12.097030639648438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, -3.0, 0.0, 0.0, 0.0, -0.035148441791534424, -0.41297319531440735, 0.016408320516347885, 0.03707299754023552, -0.07398957014083862, 0.006566566880792379
294838, 2.516129493713379, -3.0668532848358154, -12.092262268066406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 5.0, 0.0, 0.0, 0.0, -0.03545447066426277, -0.41298291087150574, 0.016041923314332962, 0.0331537202000618, -0.07224069535732269, 0.004003584384918213
294848, 2.482250452041626, -3.0682575702667236, -12.098676681518555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, -1.0, -4.0, 0.0, 0.0, 0.0, -0.03514234721660614, -0.4131687879562378, 0.01605410687625408, 0.03677736595273018, -0.07207582145929337, 0.0044688452035188675
294857, 2.5209667682647705, -3.0716445446014404, -12.12193775177002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.035025354474782944, -0.41355249285697937, 0.016031308099627495, 0.03870829939842224, -0.07426393032073975, 0.004550775047391653
294867, 2.6466197967529297, -3.067551612854004, -12.083009719848633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 15.0, 3.0, 0.0, 0.0, 0.0, 0.0, -0.03501944616436958, -0.41410115361213684, 0.016042914241552353, 0.038984332233667374, -0.07657716423273087, 0.004748783074319363
294877, 2.551199436187744, -3.096709728240967, -12.071743965148926, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, -6.0, 0.0, 0.0, 0.0, 0.0, -0.0348840169608593, -0.4137521982192993, 0.016274163499474525, 0.03884698078036308, -0.0711449533700943, 0.006453392561525106
294888, 2.6190719604492188, -3.068828582763672, -12.05871295928955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 2.0, 1.0, 0.0, 0.0, 0.0, -0.034950219094753265, -0.41387856006622314, 0.015576617792248726, 0.03788560628890991, -0.07106966525316238, 0.0018631468992680311
294899, 2.5903823375701904, -3.057664155960083, -12.082653999328613, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 2.0, 1.0, 0.0, 0.0, 0.0, -0.03506580740213394, -0.41423094272613525, 0.01557462103664875, 0.037400875240564346, -0.0734354630112648, 0.0020632422529160976
294907, 2.570812940597534, -3.0466384887695312, -12.083541870117188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 0.0, -2.0, 0.0, 0.0, 0.0, -0.03483721613883972, -0.41439810395240784, 0.015612357296049595, 0.03923451527953148, -0.07284652441740036, 0.002489411737769842
294917, 2.5646512508392334, -3.0640788078308105, -12.076750755310059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 14.0, 2.0, 0.0, 0.0, 0.0, 0.0, -0.03480878472328186, -0.41480177640914917, 0.015641219913959503, 0.03905881941318512, -0.07405728846788406, 0.0030110590159893036
294928, 2.5258595943450928, -3.065267562866211, -12.075018882751465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -1.0, 0.0, 0.0, 0.0, 0.0, -0.0347544364631176, -0.41476646065711975, 0.01616506092250347, 0.03913673013448715, -0.07217010110616684, 0.0067631034180521965
294938, 2.5373682975769043, -3.070537805557251, -12.075675010681152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, -2.0, 0.0, 0.0, 0.0, 0.0, -0.03466363996267319, -0.414583295583725, 0.016269750893115997, 0.039614975452423096, -0.06850963085889816, 0.0075450981967151165
294948, 2.579425811767578, -3.072431802749634, -12.075915336608887, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 0.0, 3.0, 0.0, 0.0, 0.0, -0.034944698214530945, -0.41458219289779663, 0.016356881707906723, 0.03612999990582466, -0.06864328682422638, 0.008017324842512608
294959, 2.623234987258911, -3.0746216773986816, -12.065071105957031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 17.0, 5.0, -3.0, 0.0, 0.0, 0.0, -0.03474971652030945, -0.41511550545692444, 0.01628684438765049, 0.03900014981627464, -0.07338937371969223, 0.007560672704130411
