timeTick, roll, pitch, yaw, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, stateROLL, statePITCH, stateYAW, whisker1, whisker2, whisker3, motor1, motor2, motor3, motor4, kalX, kalY, kalZ, kalPX, kalPY, kalPZ
787625, 0.1973722130060196, 2.144587516784668, -0.5143702030181885, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
787635, 0.24692757427692413, 2.1096138954162598, -0.5246585607528687, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50346.0, 43186.0, 49094.0, 55863.0, 0.5800139904022217, -1.379974126815796, 0.5046594142913818, -0.03308146074414253, 0.0318153090775013, 0.031208239495754242
787645, 0.24021181464195251, 2.110100746154785, -0.5065117478370667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49459.0, 45226.0, 49216.0, 55182.0, 0.5796838402748108, -1.3795877695083618, 0.5050321817398071, -0.03568898141384125, 0.030516453087329865, 0.028955085203051567
787655, 0.2444431185722351, 2.106123208999634, -0.49672478437423706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46313.0, 51019.0, 52379.0, 50515.0, 0.579261064529419, -1.3794152736663818, 0.505382776260376, -0.038473065942525864, 0.029641980305314064, 0.027912339195609093
787667, 0.42518430948257446, 2.157184600830078, -0.45612919330596924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49420.0, 46568.0, 50296.0, 53523.0, 0.5790440440177917, -1.378967523574829, 0.5037935376167297, -0.04005980119109154, 0.030247125774621964, 0.015149977058172226
787675, 0.5330031514167786, 2.223350763320923, -0.42014428973197937, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52917.0, 44312.0, 47486.0, 55475.0, 0.5787026286125183, -1.3786876201629639, 0.5039976239204407, -0.04395432025194168, 0.029399333521723747, 0.016695505008101463
787685, 0.6745655536651611, 2.3173937797546387, -0.40996256470680237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49495.0, 53006.0, 50689.0, 48207.0, 0.5783181190490723, -1.3783878087997437, 0.5041735768318176, -0.046184759587049484, 0.029302479699254036, 0.017898645251989365
787695, 0.8758820295333862, 2.5093352794647217, -0.3708036541938782, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49359.0, 52094.0, 50805.0, 49518.0, 0.5777876973152161, -1.3782647848129272, 0.5043472051620483, -0.05178968608379364, 0.025163589045405388, 0.01961931213736534
787705, 1.061655879020691, 2.6223554611206055, -0.35547205805778503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52418.0, 51631.0, 47623.0, 49815.0, 0.5773996114730835, -1.377964973449707, 0.5045539140701294, -0.05363576486706734, 0.023991990834474564, 0.02412056177854538
787715, 1.2270641326904297, 2.7684245109558105, -0.36327803134918213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50351.0, 50317.0, 51246.0, 50529.0, 0.5769328474998474, -1.377711534500122, 0.5029646158218384, -0.058403946459293365, 0.022809313610196114, 0.016022704541683197
787725, 1.3894227743148804, 2.941819906234741, -0.34866663813591003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50626.0, 47838.0, 50064.0, 53400.0, 0.57651686668396, -1.3776307106018066, 0.5031202435493469, -0.06030621379613876, 0.018744388595223427, 0.01581314019858837
787735, 1.5209578275680542, 3.052764654159546, -0.33833637833595276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51111.0, 50843.0, 49914.0, 50383.0, 0.576225221157074, -1.3772943019866943, 0.5032802820205688, -0.06121595948934555, 0.018305061385035515, 0.019159406423568726
787745, 1.5872722864151, 3.2036919593811035, -0.41429272294044495, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46526.0, 50592.0, 52827.0, 51671.0, 0.5755122900009155, -1.3772590160369873, 0.5033610463142395, -0.06684808433055878, 0.014584333635866642, 0.022188138216733932
787755, 1.5854274034500122, 3.194542169570923, -0.42083629965782166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47489.0, 49309.0, 52090.0, 52596.0, 0.5749866962432861, -1.3770889043807983, 0.5020619034767151, -0.07024557888507843, 0.01233744341880083, 0.012509346008300781
787765, 1.648437261581421, 3.3969767093658447, -0.4441474974155426, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47416.0, 51857.0, 52675.0, 50478.0, 0.5742715001106262, -1.3771334886550903, 0.5021167397499084, -0.07539555430412292, 0.007541497237980366, 0.01722140982747078
787775, 1.6426825523376465, 3.5052406787872314, -0.4374847412109375, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50963.0, 49436.0, 49326.0, 52573.0, 0.5736081004142761, -1.3771083354949951, 0.5022342801094055, -0.07970218360424042, 0.004211572930216789, 0.020361848175525665
787785, 1.63640296459198, 3.549801826477051, -0.45231515169143677, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50803.0, 52050.0, 49716.0, 49603.0, 0.572783350944519, -1.3769620656967163, 0.50233393907547, -0.08595211058855057, 0.002464691875502467, 0.019562549889087677
787795, 1.6247100830078125, 3.5745081901550293, -0.45849281549453735, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46103.0, 47797.0, 53845.0, 53650.0, 0.5720451474189758, -1.3768751621246338, 0.5023795962333679, -0.09034856408834457, 0.00041795699507929385, 0.02283981256186962
787805, 1.6226037740707397, 3.480748176574707, -0.43692710995674133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51760.0, 45038.0, 49642.0, 55487.0, 0.5712425112724304, -1.376869559288025, 0.5007908940315247, -0.09584833681583405, -0.0027337411884218454, 0.010987108573317528
787815, 1.610041856765747, 3.349246025085449, -0.4235345423221588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52190.0, 48199.0, 48822.0, 53596.0, 0.5704174041748047, -1.3769419193267822, 0.5008369088172913, -0.10074379295110703, -0.006207254249602556, 0.016105635091662407
787825, 1.6062428951263428, 3.2333383560180664, -0.44760650396347046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46333.0, 50093.0, 53582.0, 52308.0, 0.5695725679397583, -1.3769257068634033, 0.5008996725082397, -0.10513847321271896, -0.0085669606924057, 0.020162543281912804
787835, 1.579356074333191, 3.0096676349639893, -0.4383205771446228, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53316.0, 47776.0, 46623.0, 54305.0, 0.5686566829681396, -1.3769711256027222, 0.5010113716125488, -0.10900790989398956, -0.010939468629658222, 0.025835737586021423
787845, 1.5658670663833618, 2.8903415203094482, -0.4357617497444153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50410.0, 48599.0, 50556.0, 52814.0, 0.5674926042556763, -1.3769969940185547, 0.4994621276855469, -0.11571402102708817, -0.013487974181771278, 0.017524095252156258
787855, 1.5673730373382568, 2.883908987045288, -0.43655985593795776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51882.0, 48701.0, 49001.0, 53435.0, 0.5665688514709473, -1.377075433731079, 0.499571830034256, -0.11870408803224564, -0.015863722190260887, 0.015789546072483063
787865, 1.5617084503173828, 2.571812152862549, -0.46249744296073914, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54041.0, 47527.0, 46033.0, 54360.0, 0.5654587149620056, -1.3771699666976929, 0.4996289610862732, -0.12301218509674072, -0.018225960433483124, 0.019562117755413055
787875, 1.5481820106506348, 2.492323398590088, -0.4806981682777405, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47702.0, 50619.0, 52894.0, 51363.0, 0.5643411874771118, -1.377254605293274, 0.4997836947441101, -0.1267278492450714, -0.02017749845981598, 0.02291708067059517
787885, 1.5563743114471436, 2.4180853366851807, -0.4990536570549011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52314.0, 51436.0, 47972.0, 50673.0, 0.5631759166717529, -1.3773471117019653, 0.49992528557777405, -0.13026081025600433, -0.022277042269706726, 0.024122662842273712
787895, 1.5591546297073364, 2.393490791320801, -0.5164642930030823, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50260.0, 51178.0, 50598.0, 51862.0, 0.5618568658828735, -1.3776146173477173, 0.49754807353019714, -0.13491609692573547, -0.025755971670150757, 0.013870813883841038
