timeTick, laserFront
100678, 139.0
100688, 139.0
100698, 139.0
100708, 139.0
100718, 139.0
100728, 139.0
100738, 139.0
100748, 139.0
100758, 120.0
100768, 120.0
100778, 120.0
100788, 120.0
100798, 120.0
100808, 120.0
100818, 120.0
100828, 120.0
100838, 120.0
100848, 120.0
100858, 131.0
100868, 131.0
100878, 131.0
100888, 131.0
100898, 131.0
100908, 131.0
100918, 131.0
100928, 131.0
100938, 131.0
100948, 131.0
100958, 123.0
100968, 123.0
100978, 123.0
100988, 123.0
100998, 123.0
101008, 123.0
101018, 123.0
101028, 123.0
101038, 123.0
101048, 123.0
101058, 137.0
101068, 137.0
101078, 137.0
101088, 137.0
101098, 137.0
101108, 137.0
101118, 137.0
101128, 137.0
101138, 137.0
101148, 137.0
101158, 119.0
101168, 119.0
101178, 119.0
101188, 119.0
101198, 119.0
101208, 119.0
101218, 119.0
101228, 119.0
101238, 119.0
101248, 119.0
101258, 135.0
101268, 135.0
101278, 135.0
101288, 135.0
101298, 135.0
101308, 135.0
101318, 135.0
101328, 135.0
101338, 135.0
101348, 135.0
101358, 117.0
101368, 117.0
101378, 117.0
101388, 117.0
101398, 117.0
101408, 117.0
101418, 117.0
101428, 117.0
101438, 117.0
101448, 117.0
101458, 136.0
101468, 136.0
101478, 136.0
101488, 136.0
101498, 136.0
101508, 136.0
101518, 136.0
101528, 136.0
101538, 136.0
101548, 136.0
101558, 119.0
101568, 119.0
101578, 119.0
101588, 119.0
101598, 119.0
101608, 119.0
101618, 119.0
101628, 119.0
101638, 119.0
101648, 119.0
101658, 131.0
101668, 131.0
101678, 131.0
101688, 131.0
101698, 131.0
101708, 131.0
101718, 131.0
101728, 131.0
101738, 131.0
101748, 131.0
101758, 118.0
101768, 118.0
101778, 118.0
101788, 118.0
101798, 118.0
101808, 118.0
101818, 118.0
101828, 118.0
101838, 118.0
101848, 118.0
101858, 134.0
101868, 134.0
101878, 134.0
101888, 134.0
101898, 134.0
101908, 134.0
101918, 134.0
101928, 134.0
101938, 134.0
101948, 134.0
101958, 120.0
101968, 120.0
101978, 120.0
101988, 120.0
101998, 120.0
102008, 120.0
102018, 120.0
102028, 120.0
102038, 120.0
102048, 120.0
102058, 135.0
102068, 135.0
102078, 135.0
102088, 135.0
102098, 135.0
102108, 135.0
102118, 135.0
102128, 135.0
102138, 135.0
102148, 135.0
