timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
182592, 0.0, 0.0, -27.205453872680664, 0.0, 0.0, 0.9939193725585938, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
182612, 0.0, 0.0, -27.18818473815918, 0.0, 0.0, 0.832366943359375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4848131537437439, 283.0
182632, 0.0, 0.0, -27.176137924194336, 0.0, 0.0, 0.455474853515625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4859457015991211, 283.0
182652, 0.0, 0.0, -27.16424560546875, 0.0, 0.0, 0.7791519165039062, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48696306347846985, 283.0
182672, 0.0, 0.0, -27.155845642089844, 0.0, 0.0, 0.13885498046875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48658332228660583, 286.0
182692, 0.0, 0.0, -27.15155792236328, 0.0, 0.0, 0.30384063720703125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48630788922309875, 286.0
182712, 0.0, 0.0, -27.149368286132812, 0.0, 0.0, -0.0545501708984375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4851253628730774, 286.0
182732, 0.0, 0.0, -27.14893341064453, 0.0, 0.0, 0.09250640869140625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4846797585487366, 286.0
182752, 0.0, 0.0, -27.14899253845215, 0.0, 0.0, -0.08907318115234375, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4845075011253357, 286.0
182772, 0.0, 0.0, -27.158172607421875, 0.0, 0.0, -0.83770751953125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4846809506416321, 282.0
182792, 0.0, 0.0, -27.16730308532715, 0.0, 0.0, -0.1590728759765625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48346057534217834, 282.0
182812, 0.0, 0.0, -27.170570373535156, 0.0, 0.0, -0.1834869384765625, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.48398783802986145, 282.0
182832, 0.0, 0.0, -27.17507553100586, 0.0, 0.0, -0.28533935546875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4856901168823242, 282.0
182852, 0.0, 0.0, -27.182415008544922, 0.0, 0.0, -0.4772186279296875, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.4856776297092438, 282.0
182872, 0.0, 0.0, -27.187841415405273, 0.0, 0.0, -0.11310577392578125, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, -0.486169695854187, 281.0
