timeTick, whisker1_1, whisker1_2, whisker1_3, yaw, laserFront
263653, 157575.4375, 119183.1953125, 157698.640625, 0, 0
263673, 157575.4375, 119194.28125, 157694.78125, 0.11916335672140121, 291.0
263693, 157575.4375, 119187.625, 157698.640625, 0.23125551640987396, 291.0
263713, 157577.359375, 119186.140625, 157698.640625, 0.30350786447525024, 291.0
263735, 157573.515625, 119189.109375, 157700.5625, 0.397637277841568, 291.0
263753, 157577.359375, 119187.625, 157698.640625, 0.4561503827571869, 291.0
263775, 157579.28125, 119185.40625, 157700.5625, 0.5404064059257507, 294.0
263793, 157575.4375, 119189.84375, 157698.640625, 0.5862951278686523, 294.0
263813, 157575.4375, 119181.7109375, 157700.5625, 0.6264841556549072, 294.0
263835, 157577.359375, 119189.84375, 157696.703125, 0.6813217401504517, 294.0
263853, 157575.4375, 119188.359375, 157698.640625, 0.7096077799797058, 294.0
263894, 157577.359375, 119186.890625, 157698.640625, 0.7876138687133789, 298.0
263913, 157577.359375, 119183.9296875, 157698.640625, 0.8082326054573059, 298.0
263933, 157575.4375, 119182.4453125, 157702.484375, 0.8306920528411865, 298.0
263953, 157577.359375, 119187.625, 157698.640625, 0.8584638833999634, 298.0
263974, 157579.28125, 119191.328125, 157700.5625, 0.8779345154762268, 293.0
263995, 157577.359375, 119185.40625, 157698.640625, 0.898152232170105, 293.0
264013, 157577.359375, 119183.1953125, 157700.5625, 0.9139720797538757, 293.0
264034, 157575.4375, 119187.625, 157698.640625, 0.9365521669387817, 293.0
264053, 157577.359375, 119184.671875, 157700.5625, 0.9540987014770508, 293.0
264073, 157581.203125, 119183.9296875, 157698.640625, 0.9604830145835876, 301.0
264095, 157577.359375, 119179.4921875, 157700.5625, 0.9725620150566101, 301.0
264113, 157575.4375, 119187.625, 157696.703125, 0.9825379252433777, 301.0
264135, 157575.4375, 119183.9296875, 157698.640625, 0.9906216859817505, 301.0
264153, 157575.4375, 119186.890625, 157700.5625, 0.9968398809432983, 301.0
264174, 157579.28125, 119186.890625, 157700.5625, 0.999170184135437, 300.0
264195, 157577.359375, 119183.9296875, 157698.640625, 1.0057835578918457, 300.0
264213, 157577.359375, 119188.359375, 157698.640625, 1.009945273399353, 300.0
264233, 157573.515625, 119183.1953125, 157700.5625, 1.012436032295227, 300.0
264253, 157573.515625, 119179.4921875, 157700.5625, 1.0155360698699951, 300.0
264273, 157577.359375, 119186.875, 157700.5625, 1.0193842649459839, 295.0
264295, 157577.359375, 119191.328125, 157698.640625, 1.021209955215454, 295.0
264313, 157577.359375, 119185.40625, 157698.640625, 1.0241165161132812, 295.0
264334, 157577.359375, 119191.328125, 157704.421875, 1.0264549255371094, 295.0
264353, 157575.4375, 119187.625, 157698.640625, 1.0274299383163452, 295.0
264373, 157575.4375, 119185.40625, 157698.640625, 1.029497742652893, 298.0
264393, 157575.4375, 119187.625, 157702.484375, 1.0329431295394897, 298.0
264413, 157577.359375, 119183.1953125, 157696.703125, 1.0356279611587524, 298.0
264433, 157577.359375, 119191.328125, 157700.5625, 1.0376520156860352, 298.0
264453, 157575.4375, 119183.9296875, 157700.5625, 1.0414491891860962, 298.0
264473, 157571.59375, 119182.4609375, 157700.5625, 1.0442736148834229, 298.0
264494, 157573.515625, 119183.9296875, 157700.5625, 1.047757625579834, 298.0
264513, 157575.4375, 119180.2421875, 157698.640625, 1.0521659851074219, 298.0
264533, 157575.4375, 119185.40625, 157700.5625, 1.0543248653411865, 298.0
264553, 157577.359375, 119183.1953125, 157696.703125, 1.0576726198196411, 298.0
264573, 157577.359375, 119189.109375, 157702.484375, 1.0601707696914673, 296.0
264593, 157577.359375, 119183.9296875, 157700.5625, 1.0626299381256104, 296.0
264613, 157577.359375, 119187.625, 157700.5625, 1.0638090372085571, 296.0
264633, 157577.359375, 119184.6640625, 157702.484375, 1.0632365942001343, 296.0
264653, 157575.4375, 119187.625, 157698.640625, 1.0657097101211548, 296.0
264673, 157579.28125, 119187.625, 157698.640625, 1.0672866106033325, 299.0
264693, 157577.359375, 119188.359375, 157704.421875, 1.0703563690185547, 299.0
264713, 157577.359375, 119182.4609375, 157700.5625, 1.0720041990280151, 299.0
264733, 157577.359375, 119186.140625, 157700.5625, 1.0734184980392456, 299.0
264753, 157577.359375, 119183.1953125, 157702.484375, 1.0758131742477417, 299.0
264773, 157577.359375, 119187.625, 157696.703125, 1.0798227787017822, 296.0
264793, 157579.28125, 119187.625, 157698.640625, 1.0823695659637451, 296.0
264813, 157579.28125, 119183.1953125, 157698.640625, 1.0836149454116821, 296.0
264833, 157575.4375, 119187.625, 157700.5625, 1.0850030183792114, 296.0
264853, 157575.4375, 119188.359375, 157700.5625, 1.0869622230529785, 296.0
264873, 157575.4375, 119192.0625, 157700.5625, 1.089806079864502, 296.0
264893, 157573.515625, 119192.0625, 157698.640625, 1.0938501358032227, 296.0
264913, 157575.4375, 119183.9296875, 157700.5625, 1.0962187051773071, 296.0
264933, 157577.359375, 119191.328125, 157702.484375, 1.098378300666809, 296.0
264953, 157577.359375, 119190.578125, 157698.640625, 1.1009976863861084, 296.0
264975, 157575.4375, 119180.9765625, 157700.5625, 1.104667067527771, 298.0
264994, 157575.4375, 119187.625, 157700.5625, 1.107204794883728, 298.0
265013, 157579.28125, 119188.359375, 157702.484375, 1.1095175743103027, 298.0
265033, 157575.4375, 119183.1953125, 157700.5625, 1.1102374792099, 298.0
265053, 157575.4375, 119187.625, 157700.5625, 1.1112074851989746, 298.0
265073, 157573.515625, 119189.109375, 157698.640625, 1.1131926774978638, 300.0
265093, 157575.4375, 119180.9765625, 157700.5625, 1.1171417236328125, 300.0
265113, 157575.4375, 119181.7109375, 157696.703125, 1.1220698356628418, 300.0
265133, 157575.4375, 119179.4921875, 157698.640625, 1.1230947971343994, 300.0
265153, 157575.4375, 119185.40625, 157698.640625, 1.1266975402832031, 300.0
265173, 157573.515625, 119183.1953125, 157698.640625, 1.130730152130127, 301.0
265193, 157579.28125, 119186.890625, 157702.484375, 1.1329936981201172, 301.0
265213, 157575.4375, 119187.625, 157700.5625, 1.134814739227295, 301.0
265234, 157573.515625, 119187.625, 157696.703125, 1.1376076936721802, 301.0
265253, 157577.359375, 119191.328125, 157702.484375, 1.139967679977417, 301.0
265273, 157573.515625, 119184.6640625, 157698.640625, 1.1415259838104248, 296.0
265293, 157575.4375, 119184.6640625, 157700.5625, 1.1433416604995728, 296.0
265313, 157575.4375, 119190.578125, 157700.5625, 1.1470645666122437, 296.0
265333, 157573.515625, 119177.2734375, 157700.5625, 1.1471821069717407, 296.0
265353, 157581.203125, 119182.4609375, 157698.640625, 1.1489135026931763, 296.0
265373, 157577.359375, 119183.9296875, 157696.703125, 1.1534098386764526, 296.0
265393, 157573.515625, 119186.890625, 157702.484375, 1.1555229425430298, 296.0
265413, 157575.4375, 119192.0625, 157702.484375, 1.1578199863433838, 296.0
265435, 157581.203125, 119190.59375, 157700.5625, 1.1619691848754883, 296.0
265453, 157577.359375, 119183.1953125, 157700.5625, 1.1644574403762817, 296.0
265473, 157577.359375, 119179.4921875, 157698.640625, 1.1658499240875244, 299.0
265493, 157575.4375, 119180.9765625, 157702.484375, 1.170151948928833, 299.0
265513, 157575.4375, 119181.7109375, 157698.640625, 1.1700499057769775, 299.0
265533, 157575.4375, 119188.359375, 157702.484375, 1.1723192930221558, 299.0
265553, 157581.203125, 119184.671875, 157700.5625, 1.1759628057479858, 299.0
265573, 157575.4375, 119183.9296875, 157700.5625, 1.1787993907928467, 300.0
265593, 157577.359375, 119181.7109375, 157702.484375, 1.1816943883895874, 300.0
265613, 157577.359375, 119179.4921875, 157702.484375, 1.1866962909698486, 300.0
265633, 157573.515625, 119187.625, 157700.5625, 1.1887223720550537, 300.0
265653, 157575.4375, 119188.375, 157700.5625, 1.1907925605773926, 300.0
265673, 157575.4375, 119191.328125, 157696.703125, 1.1914582252502441, 301.0
