timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
372940, 157393.09375, 120127.2265625, 157508.1875, 0, 0, 0
372960, 157395.015625, 120129.4453125, 157506.265625, 156831.5625, 146033.984375, 155974.15625
372980, 157391.1875, 120126.5, 157506.265625, 156832.703125, 146027.296875, 155985.40625
373000, 157391.1875, 120131.671875, 157504.34375, 156845.984375, 146045.59375, 155984.234375
373020, 157389.265625, 120127.9609375, 157508.1875, 156835.203125, 146037.546875, 155977.953125
373041, 157393.09375, 120130.9375, 157510.109375, 156830.21875, 146040.671875, 155980.4375
373060, 157395.015625, 120125.0078125, 157506.265625, 156835.203125, 146033.984375, 155984.234375
373080, 157391.1875, 120133.1640625, 157510.109375, 156846.546875, 146040.671875, 155982.328125
373102, 157391.1875, 120125.0078125, 157508.1875, 156829.640625, 146043.140625, 155977.953125
373120, 157391.1875, 120127.9609375, 157506.265625, 156837.125, 146040.0, 155976.0625
373141, 157391.1875, 120127.2265625, 157506.265625, 156834.640625, 146038.890625, 155979.125
373160, 157396.921875, 120123.515625, 157508.1875, 156834.0625, 146035.765625, 155989.203125
373181, 157391.1875, 120129.4453125, 157508.1875, 156837.125, 146042.453125, 155979.84375
373202, 157395.015625, 120137.6015625, 157508.1875, 156841.5625, 146032.203125, 155976.0625
373220, 157393.09375, 120132.3984375, 157506.265625, 156839.0625, 146026.625, 155987.296875
373242, 157393.09375, 120131.671875, 157510.109375, 156838.484375, 146033.984375, 155969.3125
373260, 157393.09375, 120130.9375, 157506.265625, 156829.640625, 146040.671875, 155970.5
373280, 157396.921875, 120128.71875, 157510.109375, 156836.5625, 146026.625, 155974.28125
373300, 157393.09375, 120133.890625, 157508.1875, 156826.578125, 146035.765625, 155979.265625
373320, 157391.1875, 120131.671875, 157508.1875, 156837.125, 146033.984375, 155979.84375
373340, 157393.09375, 120125.734375, 157502.421875, 156831.5625, 146037.546875, 155982.328125
373360, 157391.1875, 120133.1640625, 157508.1875, 156837.125, 146036.4375, 155972.984375
373380, 157393.09375, 120126.5, 157506.265625, 156838.484375, 146043.140625, 155977.953125
373401, 157391.1875, 120130.1796875, 157508.1875, 156829.640625, 146031.53125, 155977.359375
373420, 157391.1875, 120135.3828125, 157510.109375, 156830.21875, 146037.546875, 155977.359375
373441, 157393.09375, 120124.2734375, 157510.109375, 156843.484375, 146032.640625, 155980.4375
373460, 157396.921875, 120130.9375, 157510.109375, 156834.640625, 146038.21875, 155984.234375
373480, 157395.015625, 120139.828125, 157506.265625, 156834.640625, 146035.765625, 155977.953125
373500, 157393.09375, 120128.71875, 157512.015625, 156839.625, 146040.671875, 155977.359375
373520, 157395.015625, 120134.6484375, 157508.1875, 156832.140625, 146038.890625, 155977.359375
373540, 157393.09375, 120126.5, 157508.1875, 156839.0625, 146038.21875, 155988.609375
373560, 157393.09375, 120127.2265625, 157510.109375, 156835.984375, 146033.984375, 155984.8125
373580, 157395.015625, 120131.671875, 157508.1875, 156841.5625, 146031.53125, 155973.578125
373600, 157393.09375, 120138.3359375, 157506.265625, 156837.703125, 146035.765625, 155977.953125
373620, 157391.1875, 120131.671875, 157504.34375, 156831.5625, 146033.984375, 155988.609375
373642, 157393.09375, 120130.9375, 157508.1875, 156842.90625, 146038.65625, 155977.953125
373660, 157395.015625, 120127.2265625, 157508.1875, 156832.140625, 146041.78125, 155977.359375
373680, 157395.015625, 120135.3828125, 157508.1875, 156845.40625, 146035.765625, 155969.1875
373702, 157395.015625, 120128.71875, 157510.109375, 156839.625, 146028.40625, 155972.390625
373720, 157391.1875, 120134.6484375, 157508.1875, 156834.640625, 146035.09375, 155979.265625
373741, 157393.09375, 120133.1640625, 157508.1875, 156840.984375, 146036.875, 155972.390625
373760, 157393.09375, 120133.1640625, 157508.1875, 156836.5625, 146040.0, 155979.84375
373780, 157391.1875, 120129.4453125, 157508.1875, 156842.125, 146043.140625, 155971.09375
373801, 157395.015625, 120133.890625, 157508.1875, 156840.40625, 146032.640625, 155972.984375
373820, 157396.921875, 120145.0, 157508.1875, 156835.203125, 146038.21875, 155972.984375
373840, 157393.09375, 120135.3828125, 157508.1875, 156831.5625, 146035.765625, 155979.84375
373860, 157389.265625, 120133.1640625, 157512.015625, 156841.5625, 146036.4375, 155979.84375
373880, 157393.09375, 120133.1640625, 157506.265625, 156834.0625, 146031.53125, 155970.5
373901, 157393.09375, 120125.0078125, 157508.1875, 156843.484375, 146035.765625, 155974.875
373920, 157395.015625, 120140.5546875, 157506.265625, 156841.5625, 146035.765625, 155979.265625
373940, 157393.09375, 120135.3828125, 157508.1875, 156844.046875, 146030.1875, 155977.359375
373960, 157391.1875, 120133.1640625, 157506.265625, 156841.5625, 146038.21875, 155974.875
373981, 157393.09375, 120131.671875, 157504.34375, 156829.640625, 146041.34375, 155977.359375
374002, 157395.015625, 120132.4296875, 157512.015625, 156844.046875, 146035.09375, 155976.78125
374020, 157395.015625, 120131.671875, 157508.1875, 156839.0625, 146044.25, 155977.359375
374042, 157395.015625, 120135.3828125, 157508.1875, 156845.40625, 146033.3125, 155969.90625
374060, 157395.015625, 120138.359375, 157510.109375, 156839.0625, 146029.078125, 155971.09375
374080, 157393.09375, 120128.71875, 157510.109375, 156839.0625, 146042.453125, 155967.421875
374100, 157393.09375, 120141.3125, 157510.109375, 156839.0625, 146040.671875, 155968.015625
374120, 157396.921875, 120136.875, 157510.109375, 156845.40625, 146035.09375, 155972.390625
374140, 157395.015625, 120137.6015625, 157508.1875, 156836.5625, 146042.453125, 155968.734375
374160, 157395.015625, 120139.09375, 157512.015625, 156847.328125, 146041.78125, 155976.78125
