timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, laserFront
714076, 0.0, 0.0, -26.88359260559082, 0.0, 0.0, 1.0023117065429688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
714096, 0.0, 0.0, -26.875202178955078, 0.0, 0.0, -0.0629425048828125, 157537.0, 119605.3203125, 157663.953125, 155606.375, 143472.015625, 153955.296875, 0.0, 0.0, 0.0, 0.0, -2.041055917739868, 290.0
714116, 0.0, 0.0, -26.878192901611328, 0.0, 0.0, -0.24242401123046875, 157538.921875, 119599.3984375, 157662.03125, 155625.203125, 143476.234375, 153942.203125, 0.0, 0.0, 0.0, 0.0, -2.0421605110168457, 290.0
714136, 0.0, 0.0, -26.88397979736328, 0.0, 0.0, -0.3604888916015625, 157535.078125, 119609.03125, 157662.03125, 155608.296875, 143474.84375, 153939.71875, 0.0, 0.0, 0.0, 0.0, -2.0416181087493896, 290.0
714156, 0.0, 0.0, -26.894790649414062, 0.0, 0.0, -0.7566452026367188, 157535.078125, 119604.5859375, 157663.953125, 155620.203125, 143474.46875, 153942.875, 0.0, 0.0, 0.0, 0.0, -2.041961669921875, 284.0
714176, 0.0, 0.0, -26.913198471069336, 0.0, 0.0, -1.15966796875, 157535.078125, 119597.90625, 157662.03125, 155627.109375, 143479.0625, 153933.484375, 0.0, 0.0, 0.0, 0.0, -2.0426876544952393, 284.0
714196, 0.0, 0.0, -26.93849754333496, 0.0, 0.0, -1.4862060546875, 157537.0, 119612.734375, 157662.03125, 155612.703125, 143476.234375, 153947.84375, 0.0, 0.0, 0.0, 0.0, -2.042684316635132, 284.0
714216, 0.0, 0.0, -26.9589900970459, 0.0, 0.0, -0.7116317749023438, 157537.0, 119600.8828125, 157665.875, 155619.046875, 143472.40625, 153951.53125, 0.0, 0.0, 0.0, 0.0, -2.042226552963257, 284.0
714236, 0.0, 0.0, -26.976627349853516, 0.0, 0.0, -1.1232376098632812, 157535.078125, 119604.5859375, 157665.875, 155610.796875, 143468.1875, 153954.6875, 0.0, 0.0, 0.0, 0.0, -2.0426204204559326, 284.0
714256, 0.0, 0.0, -26.992828369140625, 0.0, 0.0, -0.6092071533203125, 157538.921875, 119604.5859375, 157667.8125, 155610.796875, 143468.1875, 153949.046875, 0.0, 0.0, 0.0, 0.0, -2.0428707599639893, 287.0
714276, 0.0, 0.0, -27.005704879760742, 0.0, 0.0, -0.7394790649414062, 157537.0, 119607.5390625, 157665.875, 155613.28125, 143467.5, 153949.046875, 0.0, 0.0, 0.0, 0.0, -2.0437142848968506, 287.0
714296, 0.0, 0.0, -27.017803192138672, 0.0, 0.0, -0.5443572998046875, 157535.078125, 119603.8359375, 157663.953125, 155615.78125, 143473.78125, 153945.96875, 0.0, 0.0, 0.0, 0.0, -2.044097900390625, 287.0
714316, 0.0, 0.0, -27.023555755615234, 0.0, 0.0, -0.08544921875, 157538.921875, 119606.7890625, 157665.875, 155634.609375, 143473.78125, 153948.453125, 0.0, 0.0, 0.0, 0.0, -2.0426173210144043, 287.0
714336, 0.0, 0.0, -27.025836944580078, 0.0, 0.0, -0.15125274658203125, 157537.0, 119608.296875, 157663.953125, 155608.296875, 143477.984375, 153922.34375, 0.0, 0.0, 0.0, 0.0, -2.0449304580688477, 287.0
714356, 0.0, 0.0, -27.023229598999023, 0.0, 0.0, 0.39691925048828125, 157535.078125, 119609.7578125, 157662.03125, 155605.21875, 143469.578125, 153944.09375, 0.0, 0.0, 0.0, 0.0, -2.0459516048431396, 287.0
714376, 0.0, 0.0, -27.015893936157227, 0.0, 0.0, 0.37631988525390625, 157537.0, 119600.8828125, 157663.953125, 155613.859375, 143477.296875, 153948.453125, 0.0, 0.0, 0.0, 0.0, -2.046612501144409, 287.0
714396, 0.0, 0.0, -27.008094787597656, 0.0, 0.0, 0.4413604736328125, 157540.84375, 119601.6171875, 157662.03125, 155610.796875, 143477.296875, 153964.625, 0.0, 0.0, 0.0, 0.0, -2.045957326889038, 287.0
714416, 0.0, 0.0, -27.003005981445312, 0.0, 0.0, 0.11157989501953125, 157533.15625, 119602.34375, 157667.8125, 155615.203125, 143466.4375, 153940.9375, 0.0, 0.0, 0.0, 0.0, -2.0441935062408447, 287.0
714436, 0.0, 0.0, -27.000553131103516, 0.0, 0.0, 0.14495849609375, 157535.078125, 119606.8125, 157663.953125, 155619.625, 143488.859375, 153935.4375, 0.0, 0.0, 0.0, 0.0, -2.0434517860412598, 287.0
714456, 0.0, 0.0, -27.00080680847168, 0.0, 0.0, -0.15583038330078125, 157535.078125, 119601.6171875, 157663.953125, 155602.140625, 143472.015625, 153939.71875, 0.0, 0.0, 0.0, 0.0, -2.044527769088745, 290.0
714476, 0.0, 0.0, -27.00128746032715, 0.0, 0.0, 0.092315673828125, 157535.078125, 119604.5859375, 157665.875, 155619.625, 143477.984375, 153950.9375, 0.0, 0.0, 0.0, 0.0, -2.0445849895477295, 290.0
714496, 0.0, 0.0, -26.999160766601562, 0.0, 0.0, 0.12950897216796875, 157537.0, 119608.2734375, 157663.953125, 155617.125, 143472.015625, 153941.0, 0.0, 0.0, 0.0, 0.0, -2.046769142150879, 290.0
