timeTick, yaw, laserFront
119778, -138.26092529296875, 0
119798, -138.25765991210938, 322.0
119818, -138.25177001953125, 322.0
119838, -138.24862670898438, 322.0
119858, -138.24386596679688, 322.0
119878, -138.2377166748047, 320.0
119898, -138.2338409423828, 320.0
119918, -138.2285614013672, 320.0
119938, -138.2237548828125, 320.0
119958, -138.21749877929688, 320.0
119978, -138.21188354492188, 322.0
119998, -138.20753479003906, 322.0
120018, -138.20196533203125, 322.0
120038, -138.1979217529297, 322.0
120058, -138.19078063964844, 322.0
120078, -138.18505859375, 317.0
120098, -138.18157958984375, 317.0
120118, -138.1769561767578, 317.0
120138, -138.173095703125, 317.0
120158, -138.1687774658203, 317.0
120178, -138.16409301757812, 319.0
120198, -138.1587677001953, 319.0
120218, -138.1536865234375, 319.0
120238, -138.15090942382812, 319.0
120258, -138.1475372314453, 319.0
120278, -138.14346313476562, 322.0
120298, -138.14044189453125, 322.0
120318, -138.135498046875, 322.0
120338, -138.1323699951172, 322.0
120358, -138.12875366210938, 322.0
120378, -138.1229248046875, 323.0
120398, -138.11715698242188, 323.0
120418, -138.11355590820312, 323.0
120438, -138.10720825195312, 323.0
120458, -138.10400390625, 323.0
120478, -138.09786987304688, 317.0
120498, -138.09402465820312, 317.0
120518, -138.08981323242188, 317.0
120538, -138.08477783203125, 317.0
120558, -138.07949829101562, 317.0
120578, -138.07522583007812, 322.0
120598, -138.07212829589844, 322.0
120618, -138.06544494628906, 322.0
120638, -138.06033325195312, 322.0
120658, -138.05397033691406, 322.0
120678, -138.05072021484375, 321.0
120698, -138.0457763671875, 321.0
120718, -138.0423583984375, 321.0
120738, -138.0384063720703, 321.0
120758, -138.0333251953125, 321.0
120778, -138.02691650390625, 319.0
120798, -138.0235137939453, 319.0
120818, -138.0182647705078, 319.0
120838, -138.0135040283203, 319.0
120858, -138.00621032714844, 319.0
120878, -138.0028076171875, 317.0
120898, -137.99722290039062, 317.0
120918, -137.9950714111328, 317.0
120938, -137.99081420898438, 317.0
120958, -137.98715209960938, 317.0
120978, -137.9820556640625, 314.0
120998, -137.97854614257812, 314.0
121018, -137.97596740722656, 314.0
121038, -137.97296142578125, 314.0
121058, -137.9672088623047, 314.0
121078, -137.96290588378906, 320.0
121098, -137.95852661132812, 320.0
121118, -137.95199584960938, 320.0
121138, -137.947021484375, 320.0
121158, -137.9432830810547, 320.0
121178, -137.93911743164062, 315.0
121198, -137.9342041015625, 315.0
121218, -137.93002319335938, 315.0
121238, -137.92616271972656, 315.0
121258, -137.9227294921875, 315.0
121278, -137.92007446289062, 32766.0
121298, -137.91481018066406, 32766.0
121318, -137.90957641601562, 32766.0
121338, -137.90481567382812, 32766.0
121358, -137.90057373046875, 32766.0
121378, -137.8939666748047, 319.0
121398, -137.890625, 319.0
121418, -137.88343811035156, 319.0
121438, -137.88014221191406, 319.0
121458, -137.87388610839844, 319.0
121478, -137.87033081054688, 316.0
121498, -137.86383056640625, 316.0
121518, -137.85914611816406, 316.0
121538, -137.8521270751953, 316.0
121558, -137.84605407714844, 316.0
121578, -137.84263610839844, 320.0
121598, -137.83782958984375, 320.0
121618, -137.8310546875, 320.0
121638, -137.82785034179688, 320.0
121658, -137.82159423828125, 320.0
121678, -137.81643676757812, 319.0
121698, -137.81295776367188, 319.0
121718, -137.80908203125, 319.0
121738, -137.8043212890625, 319.0
121758, -137.79940795898438, 319.0
121778, -137.79405212402344, 319.0
121798, -137.78817749023438, 319.0
121818, -137.78211975097656, 319.0
121838, -137.77671813964844, 319.0
121858, -137.77159118652344, 319.0
121878, -137.76666259765625, 315.0
121898, -137.7610321044922, 315.0
121918, -137.7557830810547, 315.0
121938, -137.7507781982422, 315.0
121958, -137.74526977539062, 315.0
121978, -137.74111938476562, 317.0
121998, -137.73829650878906, 317.0
122018, -137.73277282714844, 317.0
122038, -137.72943115234375, 317.0
122058, -137.72427368164062, 317.0
122078, -137.72073364257812, 323.0
122098, -137.71617126464844, 323.0
122118, -137.7110595703125, 323.0
122138, -137.70594787597656, 323.0
122158, -137.70188903808594, 323.0
122178, -137.69683837890625, 322.0
122198, -137.69155883789062, 322.0
122218, -137.6849822998047, 322.0
122238, -137.68069458007812, 322.0
122258, -137.6757354736328, 322.0
122278, -137.6709442138672, 320.0
122298, -137.6663360595703, 320.0
122318, -137.6623077392578, 320.0
122338, -137.6586151123047, 320.0
122358, -137.6522674560547, 320.0
122378, -137.64735412597656, 317.0
122398, -137.6431884765625, 317.0
122418, -137.6390380859375, 317.0
122438, -137.6335906982422, 317.0
122458, -137.62820434570312, 317.0
122478, -137.62254333496094, 316.0
122498, -137.6154327392578, 316.0
122518, -137.6090545654297, 316.0
122538, -137.6050262451172, 316.0
122558, -137.60008239746094, 316.0
122578, -137.59423828125, 327.0
122598, -137.58985900878906, 327.0
122618, -137.58470153808594, 327.0
122638, -137.57989501953125, 327.0
122658, -137.5751953125, 327.0
122678, -137.57090759277344, 323.0
122698, -137.56741333007812, 323.0
122718, -137.5618133544922, 323.0
122738, -137.55812072753906, 323.0
122758, -137.5540313720703, 323.0
122778, -137.55096435546875, 325.0
122798, -137.5447235107422, 325.0
122818, -137.54095458984375, 325.0
122838, -137.5360107421875, 325.0
122858, -137.52963256835938, 325.0
122878, -137.5261993408203, 325.0
122898, -137.52178955078125, 325.0
122918, -137.51617431640625, 325.0
122938, -137.51190185546875, 325.0
122958, -137.50624084472656, 325.0
122978, -137.5009765625, 321.0
122998, -137.49607849121094, 321.0
123018, -137.4901580810547, 321.0
123038, -137.48486328125, 321.0
123058, -137.47898864746094, 321.0
123078, -137.47451782226562, 318.0
123098, -137.4686737060547, 318.0
123118, -137.4633026123047, 318.0
123138, -137.45809936523438, 318.0
123158, -137.45359802246094, 318.0
123178, -137.44815063476562, 309.0
123198, -137.4421844482422, 309.0
123218, -137.43739318847656, 309.0
123238, -137.4328155517578, 309.0
123258, -137.43002319335938, 309.0
123278, -137.425537109375, 320.0
123298, -137.42173767089844, 320.0
123318, -137.41458129882812, 320.0
123338, -137.41018676757812, 320.0
123358, -137.40504455566406, 320.0
123378, -137.4006805419922, 323.0
123398, -137.39706420898438, 323.0
123418, -137.3944091796875, 323.0
123438, -137.38893127441406, 323.0
123458, -137.38455200195312, 323.0
123478, -137.38037109375, 321.0
123498, -137.37644958496094, 321.0
123518, -137.37060546875, 321.0
123538, -137.36782836914062, 321.0
123558, -137.3633270263672, 321.0
123578, -137.3583984375, 315.0
123598, -137.352783203125, 315.0
123618, -137.3479461669922, 315.0
123638, -137.34193420410156, 315.0
123658, -137.33554077148438, 315.0
123678, -137.32945251464844, 318.0
123698, -137.32308959960938, 318.0
123718, -137.3176727294922, 318.0
123738, -2.6631298065185547, 318.0
123759, -2.6618216037750244, 318.0
123778, -0.27747395634651184, 315.0
123798, -0.510877788066864, 315.0
123820, -0.778937578201294, 315.0
123838, -1.0010102987289429, 315.0
123860, -1.1408038139343262, 315.0
123878, -1.3087620735168457, 321.0
123898, -1.4566309452056885, 321.0
123919, -1.551378846168518, 321.0
123938, -1.6663047075271606, 321.0
123958, -1.746468186378479, 321.0
123978, -1.8359081745147705, 327.0
123998, -1.899396538734436, 327.0
124018, -1.9734413623809814, 327.0
124038, -2.026808500289917, 327.0
124058, -2.094569444656372, 327.0
124078, -2.1479623317718506, 324.0
124098, -2.190945863723755, 324.0
124120, -2.2517261505126953, 324.0
124138, -2.285818338394165, 324.0
124159, -2.3131558895111084, 324.0
124178, -2.3542497158050537, 319.0
124198, -2.3843255043029785, 319.0
124218, -2.414242744445801, 319.0
124238, -2.4512221813201904, 319.0
124259, -2.466926336288452, 319.0
124278, -2.4927351474761963, 32766.0
124298, -2.5223188400268555, 32766.0
124320, -2.5392251014709473, 32766.0
124338, -2.568419933319092, 32766.0
124358, -2.5784761905670166, 32766.0
124378, -2.6028904914855957, 324.0
124398, -2.618859052658081, 324.0
124418, -2.6382057666778564, 324.0
124438, -2.6552233695983887, 324.0
124458, -2.6636016368865967, 324.0
124478, -2.6805026531219482, 320.0
124498, -2.6834442615509033, 320.0
124518, -2.6995348930358887, 320.0
124538, -2.7044484615325928, 320.0
124558, -2.6993930339813232, 320.0
124578, -2.7031781673431396, 327.0
124598, -2.7061407566070557, 327.0
124618, -2.713890790939331, 327.0
124638, -2.720255136489868, 327.0
124658, -2.7152326107025146, 327.0
124678, -2.71571946144104, 322.0
124698, -2.7157092094421387, 322.0
124718, -2.7158384323120117, 322.0
124738, -2.7106966972351074, 322.0
124759, -2.7059342861175537, 322.0
124778, -2.7009401321411133, 316.0
124798, -2.6898913383483887, 316.0
124818, -2.678889751434326, 316.0
124838, -2.667881488800049, 316.0
124858, -2.6570045948028564, 316.0
124878, -2.652590036392212, 313.0
124898, -2.648797035217285, 313.0
124918, -2.6459720134735107, 313.0
124938, -2.6363189220428467, 313.0
124959, -2.6367809772491455, 313.0
124978, -2.627854347229004, 320.0
124998, -2.6181514263153076, 320.0
125018, -2.608705759048462, 320.0
125038, -2.6049258708953857, 320.0
125058, -2.594424247741699, 320.0
125078, -2.584380626678467, 322.0
125098, -2.5740206241607666, 322.0
125118, -2.5686721801757812, 322.0
125138, -2.5640339851379395, 322.0
125158, -2.553499221801758, 322.0
125178, -2.543076515197754, 32766.0
125198, -2.538322925567627, 32766.0
125218, -2.534254312515259, 32766.0
125238, -2.524435520172119, 32766.0
125258, -2.520867347717285, 32766.0
125278, -2.5168874263763428, 32766.0
125298, -2.5084121227264404, 32766.0
125318, -2.4995434284210205, 32766.0
125338, -2.4950835704803467, 32766.0
125358, -2.491386651992798, 32766.0
125378, -2.4918997287750244, 312.0
125399, -2.482640266418457, 312.0
125418, -2.477142810821533, 312.0
125439, -2.472773790359497, 312.0
125460, -2.466552495956421, 312.0
125478, -2.4642841815948486, 32766.0
125498, -2.4598278999328613, 32766.0
125518, -2.4510152339935303, 32766.0
125538, -2.4525821208953857, 32766.0
125558, -2.448021173477173, 32766.0
125578, -2.4378345012664795, 321.0
125598, -2.427290439605713, 321.0
125618, -2.422039270401001, 321.0
125638, -2.4251129627227783, 321.0
125659, -2.4262375831604004, 321.0
125678, -2.43491268157959, 32766.0
125700, -2.4339075088500977, 32766.0
125718, -2.4304544925689697, 32766.0
125738, -2.4318652153015137, 32766.0
125758, -2.420844316482544, 32766.0
125778, -2.4274656772613525, 312.0
125798, -2.4232394695281982, 312.0
125818, -2.4309017658233643, 312.0
125838, -2.42077898979187, 312.0
125858, -2.42388653755188, 312.0
125878, -2.422090768814087, 323.0
125898, -2.4223806858062744, 323.0
125918, -2.415010690689087, 323.0
125938, -2.4167866706848145, 323.0
125960, -2.4187076091766357, 323.0
125978, -2.4225220680236816, 326.0
125999, -2.4141290187835693, 326.0
126018, -2.415520429611206, 326.0
126038, -2.4221901893615723, 326.0
126058, -2.419193983078003, 326.0
126078, -2.426612615585327, 317.0
126098, -2.4276058673858643, 317.0
126118, -2.422259569168091, 317.0
126138, -2.4189095497131348, 317.0
126158, -2.41556978225708, 317.0
126178, -2.4127211570739746, 322.0
126198, -2.4216814041137695, 322.0
126218, -2.4181771278381348, 322.0
126238, -2.425097703933716, 322.0
126259, -2.4214277267456055, 322.0
126278, -2.424323797225952, 319.0
126298, -2.4210712909698486, 319.0
126318, -2.422518491744995, 319.0
126338, -2.416332960128784, 319.0
126360, -2.413844347000122, 319.0
126378, -2.4232828617095947, 322.0
126399, -2.4245195388793945, 322.0
126418, -2.4197428226470947, 322.0
126438, -2.4214675426483154, 322.0
126458, -2.4176859855651855, 322.0
126478, -2.4190378189086914, 320.0
126498, -2.4159185886383057, 320.0
126518, -2.414219856262207, 320.0
126538, -2.419283151626587, 320.0
126559, -2.415637969970703, 320.0
126578, -2.4109692573547363, 317.0
126599, -2.4188714027404785, 317.0
126618, -2.4216606616973877, 317.0
126639, -2.424002170562744, 317.0
126661, -2.426574945449829, 317.0
126678, -2.4339516162872314, 319.0
126699, -2.4355084896087646, 319.0
126718, -2.438642978668213, 319.0
126738, -2.4408416748046875, 319.0
126759, -2.4387564659118652, 319.0
126778, -2.440040111541748, 318.0
126799, -2.449141025543213, 318.0
126818, -2.4449880123138428, 318.0
126839, -2.446422815322876, 318.0
126859, -2.4415552616119385, 318.0
126878, -2.4419689178466797, 326.0
126899, -2.4497106075286865, 326.0
126918, -2.45855450630188, 326.0
126939, -2.4603185653686523, 326.0
126958, -2.4563519954681396, 326.0
126978, -2.457163095474243, 322.0
126998, -2.452561378479004, 322.0
127018, -2.449326753616333, 322.0
127038, -2.4565048217773438, 322.0
127058, -2.468174457550049, 322.0
127078, -2.464723825454712, 316.0
127100, -2.4530608654022217, 316.0
127118, -2.4564497470855713, 316.0
127139, -2.448557138442993, 316.0
127160, -2.44412899017334, 316.0
127178, -2.4457461833953857, 320.0
127198, -2.4432005882263184, 320.0
127218, -2.441049814224243, 320.0
127238, -2.4290871620178223, 320.0
127258, -2.4197404384613037, 320.0
127278, -2.4282045364379883, 316.0
127298, -2.425672769546509, 316.0
127318, -2.428968906402588, 316.0
127338, -2.419259548187256, 316.0
127358, -2.415182113647461, 316.0
127378, -2.411696434020996, 32766.0
127398, -2.4139821529388428, 32766.0
127418, -2.404881000518799, 32766.0
127438, -2.4090871810913086, 32766.0
127458, -2.3986172676086426, 32766.0
127478, -2.402176856994629, 322.0
127498, -2.396249532699585, 322.0
127518, -2.396846294403076, 322.0
127538, -2.3890790939331055, 322.0
127559, -2.3897640705108643, 322.0
127578, -2.385566234588623, 319.0
127598, -2.381910800933838, 319.0
127618, -2.378542184829712, 319.0
127638, -2.379502773284912, 319.0
127658, -2.369457960128784, 319.0
127678, -2.372868537902832, 324.0
127698, -2.362327814102173, 324.0
