timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw, laserFront
184551, 157571.59375, 119113.6953125, 157685.140625, 0, 0, 0, 0, 0
184569, 157575.4375, 119110.7421875, 157690.921875, 156298.421875, 144964.578125, 155078.53125, 0.16505075991153717, 298.0
184591, 157571.59375, 119111.4765625, 157690.921875, 156301.484375, 144968.796875, 155077.234375, 0.2447735220193863, 298.0
184609, 157569.671875, 119115.1796875, 157692.859375, 156292.078125, 144962.796875, 155071.078125, 0.3248268663883209, 298.0
184629, 157571.59375, 119107.046875, 157690.921875, 156298.421875, 144964.578125, 155078.53125, 0.40976089239120483, 298.0
184650, 157573.515625, 119114.4453125, 157689.0, 156294.0, 144957.890625, 155069.1875, 0.48280954360961914, 298.0
184669, 157569.671875, 119118.125, 157690.921875, 156299.0, 144972.34375, 155076.640625, 0.531921923160553, 303.0
184689, 157567.75, 119114.4453125, 157690.921875, 156292.078125, 144964.578125, 155075.34375, 0.5904936194419861, 303.0
184709, 157569.671875, 119119.609375, 157690.921875, 156291.5, 144967.703125, 155082.203125, 0.6395926475524902, 303.0
184729, 157573.515625, 119116.65625, 157690.921875, 156292.65625, 144961.03125, 155072.859375, 0.664177656173706, 303.0
184751, 157567.75, 119114.4453125, 157689.0, 156295.15625, 144969.484375, 155069.1875, 0.7044832110404968, 303.0
184769, 157567.75, 119118.875, 157687.078125, 156306.484375, 144962.796875, 155069.1875, 0.7485030889511108, 302.0
184791, 157569.671875, 119119.609375, 157690.921875, 156294.578125, 144964.578125, 155065.40625, 0.7815927863121033, 302.0
184809, 157567.75, 119117.390625, 157689.0, 156293.421875, 144964.578125, 155085.96875, 0.8050341010093689, 302.0
184829, 157569.671875, 119116.65625, 157690.921875, 156300.921875, 144968.796875, 155084.6875, 0.8282682299613953, 302.0
184849, 157569.671875, 119116.65625, 157690.921875, 156295.15625, 144965.25, 155069.1875, 0.8570820093154907, 302.0
184869, 157571.59375, 119111.4765625, 157689.0, 156299.5625, 144968.796875, 155076.640625, 0.8804436922073364, 306.0
184889, 157567.75, 119116.65625, 157690.921875, 156298.421875, 144958.984375, 155075.34375, 0.8969473242759705, 306.0
184909, 157567.75, 119121.09375, 157689.0, 156295.15625, 144966.34375, 155082.890625, 0.9090351462364197, 306.0
184929, 157569.671875, 119123.3125, 157689.0, 156300.921875, 144959.671875, 155077.234375, 0.9291484951972961, 306.0
184950, 157571.59375, 119120.34375, 157692.859375, 156297.078125, 144960.34375, 155064.21875, 0.9427288174629211, 306.0
184969, 157573.515625, 119112.9609375, 157687.078125, 156298.421875, 144961.4375, 155069.1875, 0.9533019661903381, 303.0
184989, 157571.59375, 119118.8671875, 157690.921875, 156294.0, 144965.671875, 155074.75, 0.9616069197654724, 303.0
185009, 157571.59375, 119119.609375, 157687.078125, 156299.0, 144957.890625, 155066.703125, 0.9709891080856323, 303.0
185029, 157569.671875, 119125.53125, 157689.0, 156289.0, 144966.34375, 155074.75, 0.9730246663093567, 303.0
185049, 157571.59375, 119120.34375, 157692.859375, 156298.421875, 144971.9375, 155076.046875, 0.978898823261261, 303.0
185069, 157571.59375, 119121.09375, 157690.921875, 156302.0625, 144957.890625, 155084.6875, 0.9918050169944763, 300.0
185089, 157571.59375, 119120.34375, 157689.0, 156294.0, 144973.03125, 155075.4375, 1.0024116039276123, 300.0
185109, 157569.671875, 119120.359375, 157690.921875, 156296.5, 144961.4375, 155084.09375, 1.0108593702316284, 300.0
185130, 157571.59375, 119124.046875, 157687.078125, 156294.578125, 144964.578125, 155082.203125, 1.0183910131454468, 300.0
185149, 157571.59375, 119124.046875, 157687.078125, 156294.0, 144964.578125, 155078.53125, 1.0225130319595337, 300.0
185189, 157567.75, 119130.6953125, 157689.0, 156286.515625, 144967.03125, 155077.234375, 1.0266872644424438, 306.0
185209, 157569.671875, 119123.3125, 157690.921875, 156299.0, 144969.484375, 155067.890625, 1.0289783477783203, 306.0
185229, 157569.671875, 119118.125, 157689.0, 156296.5, 144965.25, 155074.15625, 1.033007264137268, 306.0
185249, 157567.75, 119125.53125, 157689.0, 156303.421875, 144965.25, 155074.15625, 1.0349515676498413, 306.0
185269, 157569.671875, 119118.875, 157689.0, 156291.5, 144967.03125, 155077.234375, 1.0374016761779785, 306.0
185290, 157569.671875, 119122.5625, 157690.921875, 156293.421875, 144971.25, 155067.890625, 1.0404409170150757, 306.0
185311, 157569.671875, 119124.046875, 157694.78125, 156298.421875, 144963.890625, 155077.234375, 1.042955756187439, 306.0
185330, 157569.671875, 119126.265625, 157689.0, 156295.15625, 144959.671875, 155074.15625, 1.0447624921798706, 306.0
185349, 157571.59375, 119122.5625, 157690.921875, 156289.0, 144970.578125, 155070.375, 1.0485866069793701, 306.0
185369, 157573.515625, 119127.7421875, 157687.078125, 156289.0, 144962.125, 155088.453125, 1.0509405136108398, 308.0
185389, 157569.671875, 119124.78125, 157690.921875, 156289.578125, 144962.125, 155063.515625, 1.0548261404037476, 308.0
185409, 157569.671875, 119124.046875, 157689.0, 156296.5, 144972.34375, 155085.96875, 1.0571335554122925, 308.0
185429, 157569.671875, 119123.3125, 157689.0, 156299.0, 144967.703125, 155074.15625, 1.0606331825256348, 308.0
185449, 157575.4375, 119121.828125, 157689.0, 156291.5, 144964.578125, 155069.1875, 1.0614523887634277, 308.0
185469, 157571.59375, 119128.4765625, 157690.921875, 156303.421875, 144957.21875, 155075.34375, 1.0658197402954102, 302.0
185490, 157569.671875, 119124.046875, 157690.921875, 156293.421875, 144966.34375, 155062.921875, 1.0676907300949097, 302.0
