timeTick, whisker1_1, whisker1_2, whisker1_3
331615, 157592.734375, 119084.9375, 157723.703125
331632, 157594.671875, 119093.8046875, 157721.765625
331652, 157596.59375, 119089.375, 157723.703125
331674, 157594.671875, 119085.671875, 157719.84375
331692, 157596.59375, 119086.421875, 157723.703125
331714, 157596.59375, 119087.15625, 157723.703125
331732, 157592.734375, 119087.15625, 157723.703125
331752, 157596.59375, 119085.671875, 157723.703125
331772, 157594.671875, 119087.15625, 157721.765625
331792, 157596.59375, 119087.890625, 157723.703125
331813, 157596.59375, 119088.625, 157719.84375
331832, 157594.671875, 119087.15625, 157723.703125
331852, 157598.515625, 119087.15625, 157721.765625
331872, 157594.671875, 119087.15625, 157723.703125
331892, 157598.515625, 119081.9765625, 157721.765625
331912, 157596.59375, 119085.671875, 157719.84375
331932, 157594.671875, 119087.15625, 157725.625
331952, 157596.59375, 119096.7578125, 157723.703125
331974, 157596.59375, 119089.375, 157723.703125
331992, 157596.59375, 119088.640625, 157723.703125
332014, 157594.671875, 119086.421875, 157721.765625
332032, 157590.8125, 119093.0703125, 157723.703125
332053, 157596.59375, 119096.0234375, 157723.703125
332072, 157596.59375, 119087.890625, 157723.703125
332092, 157596.59375, 119091.5859375, 157723.703125
332112, 157592.734375, 119081.9765625, 157721.765625
332132, 157592.734375, 119097.5078125, 157719.84375
332152, 157596.59375, 119092.3203125, 157723.703125
332172, 157594.671875, 119090.8515625, 157723.703125
332192, 157598.515625, 119092.3203125, 157721.765625
332212, 157598.515625, 119093.8046875, 157725.625
332232, 157596.59375, 119091.5859375, 157723.703125
332252, 157594.671875, 119083.453125, 157719.84375
332272, 157596.59375, 119089.375, 157723.703125
332292, 157594.671875, 119090.109375, 157721.765625
332313, 157594.671875, 119085.671875, 157723.703125
332332, 157596.59375, 119090.8515625, 157721.765625
332353, 157594.671875, 119087.890625, 157725.625
332372, 157594.671875, 119089.375, 157723.703125
332393, 157598.515625, 119099.7265625, 157723.703125
332413, 157594.671875, 119090.109375, 157725.625
332432, 157594.671875, 119085.671875, 157721.765625
332454, 157594.671875, 119092.3203125, 157719.84375
332472, 157596.59375, 119091.5859375, 157723.703125
