timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, yaw
36779, 157690.921875, 118374.640625, 157810.546875, 0, 0, 0, 0
36799, 157685.140625, 118372.421875, 157812.46875, 155333.59375, 143309.234375, 153921.421875, -0.27153968811035156
36819, 157685.140625, 118376.8515625, 157810.546875, 155340.5, 143311.6875, 153930.140625, -0.2724985182285309
36839, 157687.078125, 118374.640625, 157810.546875, 155342.421875, 143303.953125, 153905.234375, -0.2729244828224182
36859, 157690.921875, 118374.640625, 157810.546875, 155337.421875, 143311.6875, 153925.78125, -0.27374446392059326
36879, 157690.921875, 118370.9453125, 157812.46875, 155338.0, 143312.375, 153912.078125, -0.273952841758728
36899, 157687.078125, 118379.0703125, 157808.609375, 155334.171875, 143306.40625, 153926.984375, -0.2742595076560974
36919, 157687.078125, 118379.8046875, 157816.328125, 155335.515625, 143308.171875, 153914.5625, -0.2746210992336273
36939, 157687.078125, 118374.640625, 157808.609375, 155336.09375, 143305.71875, 153913.96875, -0.27508893609046936
36959, 157687.078125, 118370.9453125, 157808.609375, 155331.09375, 143305.03125, 153925.78125, -0.27437150478363037
36979, 157685.140625, 118373.8984375, 157814.40625, 155344.921875, 143314.125, 153914.5625, -0.2760317921638489
36999, 157689.0, 118370.9453125, 157806.671875, 155331.09375, 143313.75, 153921.421875, -0.27622124552726746
37019, 157689.0, 118372.421875, 157806.671875, 155336.671875, 143305.03125, 153918.9375, -0.27745509147644043
37039, 157687.078125, 118368.734375, 157812.46875, 155345.5, 143321.484375, 153907.125, -0.2785576581954956
37059, 157685.140625, 118369.4765625, 157808.609375, 155339.921875, 143307.46875, 153913.96875, -0.2803562581539154
37079, 157685.140625, 118377.59375, 157810.546875, 155336.671875, 143303.953125, 153909.609375, -0.28095418214797974
37099, 157687.078125, 118373.1640625, 157810.546875, 155340.5, 143309.921875, 153916.453125, -0.2820573151111603
37119, 157690.921875, 118368.0, 157808.609375, 155338.0, 143320.40625, 153897.78125, -0.28256940841674805
37139, 157683.21875, 118379.0703125, 157814.40625, 155331.09375, 143315.515625, 153918.9375, -0.2848518490791321
37159, 157687.078125, 118374.640625, 157808.609375, 155342.421875, 143309.921875, 153904.640625, -0.285968542098999
37179, 157687.078125, 118372.421875, 157810.546875, 155336.09375, 143311.6875, 153916.453125, -0.2858150899410248
37199, 157687.078125, 118378.328125, 157810.546875, 155334.171875, 143313.0625, 153920.8125, -0.2853969633579254
37219, 157689.0, 118376.8515625, 157810.546875, 155323.03125, 143312.375, 153909.609375, -0.28668010234832764
37239, 157690.921875, 118370.9453125, 157812.46875, 155340.5, 143314.828125, 153917.046875, -0.2868480980396271
37259, 157687.078125, 118374.640625, 157808.609375, 155331.671875, 143312.375, 153907.125, -0.2881821095943451
37279, 157690.921875, 118370.9453125, 157812.46875, 155338.0, 143310.609375, 153914.5625, -0.2888629734516144
37299, 157685.140625, 118370.2109375, 157810.546875, 155331.671875, 143313.0625, 153911.484375, -0.2875315546989441
37319, 157689.0, 118373.8984375, 157808.609375, 155337.421875, 143314.828125, 153918.9375, -0.2875435948371887
37339, 157685.140625, 118382.015625, 157810.546875, 155338.0, 143312.375, 153926.390625, -0.28852415084838867
37359, 157685.140625, 118378.328125, 157806.671875, 155331.671875, 143306.40625, 153925.109375, -0.2857457995414734
37379, 157685.140625, 118379.0703125, 157810.546875, 155344.921875, 143315.890625, 153909.609375, -0.28578251600265503
37399, 157687.078125, 118370.9453125, 157810.546875, 155338.0, 143307.46875, 153912.6875, -0.2854381799697876
37419, 157689.0, 118379.8046875, 157810.546875, 155328.015625, 143309.921875, 153912.6875, -0.2857680022716522
37439, 157689.0, 118377.59375, 157810.546875, 155337.421875, 143319.71875, 153915.171875, -0.28686800599098206
37459, 157690.921875, 118377.59375, 157810.546875, 155333.015625, 143314.828125, 153916.453125, -0.28987452387809753
37479, 157683.21875, 118375.375, 157810.546875, 155339.921875, 143313.75, 153917.046875, -0.2901563346385956
37499, 157685.140625, 118374.640625, 157812.46875, 155325.515625, 143323.234375, 153917.046875, -0.289703905582428
37519, 157687.078125, 118373.1640625, 157810.546875, 155323.609375, 143317.953125, 153907.125, -0.28993526101112366
37539, 157690.921875, 118379.8046875, 157808.609375, 155333.015625, 143319.03125, 153923.90625, -0.2883506119251251
37559, 157683.21875, 118370.2109375, 157810.546875, 155326.109375, 143320.796875, 153918.328125, -0.28794601559638977
37579, 157687.078125, 118376.1171875, 157808.609375, 155331.09375, 143312.375, 153919.53125, -0.2876666188240051
37599, 157690.921875, 118371.6875, 157810.546875, 155323.609375, 143315.515625, 153919.53125, -0.2890052795410156
37619, 157687.078125, 118378.328125, 157810.546875, 155325.515625, 143310.609375, 153917.046875, -0.2882365882396698
37639, 157685.140625, 118372.421875, 157808.609375, 155329.9375, 143319.03125, 153923.296875, -0.29032257199287415
37659, 157689.0, 118373.8984375, 157808.609375, 155333.015625, 143313.0625, 153915.171875, -0.2900219261646271
37679, 157687.078125, 118381.28125, 157812.46875, 155333.015625, 143307.46875, 153909.609375, -0.2919710576534271
37699, 157685.140625, 118374.640625, 157810.546875, 155330.515625, 143314.125, 153918.9375, -0.29303890466690063
37719, 157687.078125, 118382.015625, 157808.609375, 155328.015625, 143313.0625, 153921.421875, -0.2932818830013275
37739, 157687.078125, 118373.1640625, 157810.546875, 155337.421875, 143313.0625, 153923.90625, -0.292143851518631
37759, 157683.21875, 118370.9453125, 157810.546875, 155328.015625, 143310.609375, 153913.96875, -0.2913217544555664
37779, 157689.0, 118380.5390625, 157808.609375, 155321.109375, 143315.515625, 153919.53125, -0.292127788066864
37799, 157689.0, 118386.4453125, 157812.46875, 155330.515625, 143316.578125, 153924.5, -0.2924099266529083
37819, 157685.140625, 118373.8984375, 157810.546875, 155323.03125, 143319.71875, 153905.234375, -0.291795015335083
37839, 157685.140625, 118376.8515625, 157808.609375, 155332.4375, 143313.75, 153917.046875, -0.2919474244117737
37859, 157687.078125, 118379.8046875, 157812.46875, 155328.015625, 143313.0625, 153923.90625, -0.29250264167785645
37879, 157690.921875, 118373.8984375, 157810.546875, 155328.015625, 143320.40625, 153920.140625, -0.2940886914730072
37899, 157687.078125, 118384.234375, 157812.46875, 155325.515625, 143317.953125, 153917.046875, -0.29482731223106384
37919, 157687.078125, 118382.015625, 157810.546875, 155332.4375, 143318.65625, 153920.8125, -0.2945069372653961
37939, 157687.078125, 118375.375, 157810.546875, 155328.59375, 143320.40625, 153913.96875, -0.29398295283317566
37959, 157687.078125, 118382.7578125, 157810.546875, 155323.609375, 143312.375, 153917.046875, -0.29192477464675903
37979, 157687.078125, 118377.59375, 157812.46875, 155321.6875, 143317.953125, 153920.8125, -0.2922981381416321
37999, 157683.21875, 118379.8046875, 157810.546875, 155320.53125, 143315.515625, 153916.453125, -0.29263561964035034
38019, 157689.0, 118379.0703125, 157808.609375, 155325.515625, 143320.40625, 153921.421875, -0.2909609079360962
