timeTick, yaw, laserFront
327626, -4.0538740158081055, 0
327646, -4.0545501708984375, 297.0
327666, -4.054876327514648, 32766.0
327686, -4.053646564483643, 32766.0
327706, -4.053726673126221, 32766.0
327726, -4.053339004516602, 32766.0
327746, -4.054232120513916, 32766.0
327766, -4.056212425231934, 299.0
327786, -4.056918621063232, 299.0
327806, -4.0560455322265625, 299.0
327826, -4.056853771209717, 299.0
327846, -4.058162212371826, 299.0
327866, -4.0597028732299805, 290.0
327886, -4.059143543243408, 290.0
327906, -4.057376861572266, 290.0
327926, -4.057435989379883, 290.0
327946, -4.057788848876953, 290.0
327966, -4.058324813842773, 290.0
327986, -4.058648109436035, 290.0
328006, -4.058207035064697, 290.0
328026, -4.058736801147461, 290.0
328046, -4.057281494140625, 290.0
328066, -4.057717800140381, 295.0
328086, -4.059228420257568, 295.0
328106, -4.060017108917236, 295.0
328126, -4.060835361480713, 295.0
328146, -4.059261322021484, 295.0
328166, -4.0596771240234375, 291.0
328186, -4.060549259185791, 291.0
328206, -4.060042381286621, 291.0
328226, -4.060445785522461, 291.0
328246, -4.061736583709717, 291.0
328266, -4.060941219329834, 296.0
328286, -4.061610698699951, 296.0
328306, -4.060830116271973, 296.0
328326, -4.0605902671813965, 296.0
328346, -4.0597310066223145, 296.0
328366, -4.061699390411377, 297.0
328386, -4.06320858001709, 297.0
328406, -4.0638861656188965, 297.0
328426, -4.063998699188232, 297.0
328446, -4.064724922180176, 297.0
328466, -4.063754558563232, 299.0
328486, -4.061994552612305, 299.0
328506, -4.061639785766602, 299.0
328526, -4.06291389465332, 299.0
328546, -4.063186168670654, 299.0
328566, -4.06303071975708, 298.0
328586, -4.06517219543457, 298.0
328606, -4.065623760223389, 298.0
328626, -4.066247940063477, 298.0
328646, -4.067001819610596, 298.0
328666, -4.068013668060303, 293.0
328686, -4.068447113037109, 293.0
328706, -4.067002773284912, 293.0
328726, -4.067189693450928, 293.0
328746, -4.0669426918029785, 293.0
328766, -4.067101001739502, 289.0
328786, -4.067729473114014, 289.0
328806, -4.068647861480713, 289.0
328826, -4.0680036544799805, 289.0
328846, -4.068752765655518, 289.0
328866, -4.068090915679932, 301.0
328886, -4.068280220031738, 301.0
328906, -4.068002700805664, 301.0
328926, -4.066507339477539, 301.0
328946, -4.066108226776123, 301.0
328966, -4.066895008087158, 291.0
328986, -4.065567493438721, 291.0
329006, -4.065371513366699, 291.0
329026, -4.066069602966309, 291.0
329046, -4.066090106964111, 291.0
