timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, laserFront
809661, 157621.59375, 119042.1328125, 157742.984375, 0, 0, 0, 0
809673, 157617.75, 119046.5703125, 157742.984375, 155526.109375, 144127.859375, 154458.078125, 0
809681, 157615.828125, 119034.734375, 157744.90625, 155526.6875, 144116.28125, 154450.625, 32766.0
809691, 157615.828125, 119036.953125, 157746.84375, 155528.609375, 144116.28125, 154462.453125, 32766.0
809701, 157621.59375, 119032.515625, 157748.765625, 155530.515625, 144118.046875, 154464.328125, 32766.0
809711, 157617.75, 119037.6953125, 157742.984375, 155531.09375, 144122.265625, 154445.0625, 32766.0
809722, 157617.75, 119042.8671875, 157742.984375, 155528.609375, 144108.9375, 154445.0625, 32766.0
809732, 157619.671875, 119042.8671875, 157746.84375, 155529.1875, 144120.5, 154459.359375, 32766.0
809741, 157617.75, 119040.6484375, 157748.765625, 155531.09375, 144122.953125, 154457.484375, 32766.0
809751, 157617.75, 119036.21875, 157746.84375, 155530.515625, 144122.265625, 154463.734375, 32766.0
809761, 157617.75, 119047.3125, 157746.84375, 155526.6875, 144122.265625, 154450.03125, 318.0
809773, 157617.75, 119041.3828125, 157750.703125, 155537.4375, 144121.578125, 154452.515625, 318.0
809783, 157617.75, 119048.046875, 157746.84375, 155530.515625, 144115.59375, 154455.0, 318.0
809791, 157617.75, 119048.046875, 157746.84375, 155528.609375, 144120.5, 154451.21875, 318.0
809802, 157619.671875, 119042.1328125, 157744.90625, 155519.203125, 144120.5, 154448.734375, 318.0
809812, 157621.59375, 119037.6953125, 157742.984375, 155524.1875, 144118.046875, 154455.0, 318.0
809823, 157621.59375, 119042.1484375, 157746.84375, 155531.09375, 144119.8125, 154450.625, 318.0
809833, 157619.671875, 119039.9140625, 157746.84375, 155524.1875, 144121.1875, 154457.484375, 318.0
809841, 157619.671875, 119039.9140625, 157746.84375, 155532.84375, 144115.59375, 154462.453125, 318.0
809851, 157625.453125, 119034.0, 157746.84375, 155532.84375, 144115.59375, 154462.453125, 318.0
809861, 157621.59375, 119043.6171875, 157746.84375, 155521.109375, 144128.25, 154459.96875, 315.0
809874, 157619.671875, 119037.6953125, 157744.90625, 155536.09375, 144113.15625, 154450.625, 315.0
809884, 157617.75, 119045.1015625, 157744.90625, 155534.171875, 144113.828125, 154443.171875, 315.0
809891, 157617.75, 119045.1015625, 157744.90625, 155530.515625, 144122.265625, 154450.625, 315.0
809901, 157619.671875, 119028.0859375, 157750.703125, 155530.515625, 144122.265625, 154450.625, 315.0
809911, 157619.671875, 119034.0, 157744.90625, 155526.6875, 144118.046875, 154450.625, 315.0
809923, 157617.75, 119034.734375, 157739.125, 155526.109375, 144122.953125, 154453.109375, 315.0
809931, 157617.75, 119045.0859375, 157742.984375, 155528.609375, 144121.1875, 154449.421875, 315.0
809941, 157619.671875, 119039.9140625, 157746.84375, 155531.6875, 144117.375, 154455.0, 315.0
809951, 157619.671875, 119039.1796875, 157746.84375, 155530.515625, 144116.96875, 154456.1875, 315.0
