timeTick, laserFront
36106, 326.0
36126, 326.0
36146, 325.0
36166, 325.0
36186, 325.0
36206, 325.0
36226, 325.0
36246, 327.0
36266, 327.0
36286, 327.0
36306, 327.0
36326, 327.0
36346, 322.0
36366, 322.0
36386, 322.0
36406, 322.0
36426, 322.0
36446, 325.0
36466, 325.0
36486, 325.0
36506, 325.0
36526, 325.0
36546, 32766.0
36566, 32766.0
36586, 32766.0
36606, 32766.0
36626, 32766.0
36646, 320.0
36666, 320.0
36686, 320.0
36706, 320.0
36726, 320.0
36746, 323.0
36766, 323.0
36786, 323.0
36806, 323.0
36826, 323.0
36846, 323.0
36866, 323.0
36886, 323.0
36906, 323.0
36926, 323.0
36946, 316.0
36966, 316.0
36986, 316.0
37006, 316.0
37026, 316.0
37046, 321.0
37066, 321.0
37086, 321.0
37106, 321.0
37126, 321.0
37146, 328.0
37166, 328.0
37186, 328.0
37206, 328.0
37226, 328.0
37246, 320.0
37266, 320.0
37286, 320.0
37306, 320.0
37326, 320.0
37346, 312.0
37366, 312.0
37386, 312.0
37406, 312.0
37426, 312.0
37446, 32766.0
37466, 32766.0
37486, 32766.0
37506, 32766.0
37526, 32766.0
37546, 32766.0
37566, 32766.0
37586, 32766.0
37606, 32766.0
37626, 32766.0
37646, 323.0
37666, 323.0
37686, 323.0
37706, 323.0
37726, 323.0
37746, 325.0
37766, 325.0
37786, 325.0
37806, 325.0
37826, 325.0
37846, 323.0
37866, 323.0
37886, 323.0
37906, 323.0
37926, 323.0
37946, 323.0
37966, 323.0
37986, 323.0
38006, 323.0
38026, 323.0
38046, 331.0
38066, 331.0
38086, 331.0
38106, 331.0
38126, 331.0
38146, 319.0
38166, 319.0
38186, 319.0
38206, 319.0
38226, 319.0
38246, 318.0
38266, 318.0
38286, 318.0
38306, 318.0
38326, 318.0
38346, 326.0
38366, 326.0
38386, 326.0
38406, 326.0
38426, 326.0
38446, 324.0
38466, 324.0
38486, 324.0
38506, 324.0
38526, 324.0
38546, 324.0
38566, 324.0
38586, 324.0
38606, 324.0
38626, 324.0
38646, 32766.0
38666, 32766.0
38686, 32766.0
38706, 32766.0
38726, 32766.0
38746, 318.0
38766, 318.0
38786, 318.0
38806, 318.0
38826, 318.0
38846, 314.0
38866, 314.0
38886, 314.0
38906, 314.0
38926, 314.0
38946, 332.0
38966, 332.0
38986, 332.0
39006, 332.0
39026, 332.0
39046, 316.0
39066, 316.0
39086, 316.0
39106, 316.0
39126, 316.0
39146, 329.0
39166, 329.0
39186, 329.0
39206, 329.0
39226, 329.0
39246, 322.0
39266, 322.0
39286, 322.0
39306, 322.0
39326, 322.0
39346, 32766.0
39366, 32766.0
39386, 32766.0
39406, 32766.0
39426, 32766.0
39446, 321.0
39466, 321.0
39486, 321.0
39506, 321.0
39526, 321.0
39546, 322.0
39566, 322.0
39586, 322.0
39606, 322.0
39626, 322.0
39646, 319.0
39666, 319.0
39686, 319.0
39706, 319.0
39726, 319.0
39746, 324.0
39766, 324.0
39786, 324.0
39806, 324.0
39826, 324.0
39846, 32766.0
39866, 32766.0
39886, 32766.0
39906, 32766.0
39926, 32766.0
39946, 320.0
39966, 320.0
39986, 320.0
40006, 320.0
40026, 320.0
40046, 326.0
40066, 326.0
40086, 326.0
40106, 326.0
40126, 326.0
40146, 329.0
40166, 329.0
40186, 329.0
40206, 329.0
40226, 329.0
40246, 322.0
40266, 322.0
40286, 322.0
40306, 322.0
40326, 322.0
40346, 321.0
40366, 321.0
40386, 321.0
40406, 321.0
40426, 321.0
40446, 322.0
40466, 322.0
40486, 322.0
40506, 322.0
40546, 319.0
40566, 319.0
40586, 319.0
40606, 319.0
40626, 319.0
40646, 323.0
40666, 323.0
40686, 323.0
40706, 323.0
40726, 323.0
40746, 32766.0
40766, 32766.0
40786, 32766.0
40806, 32766.0
40826, 32766.0
40846, 323.0
40866, 323.0
40886, 323.0
40906, 323.0
40926, 323.0
40946, 326.0
40966, 326.0
40986, 326.0
41006, 326.0
41026, 326.0
41046, 321.0
41066, 321.0
41086, 321.0
41106, 321.0
41126, 321.0
41146, 315.0
41166, 315.0
41186, 315.0
41206, 315.0
41226, 315.0
41246, 320.0
41266, 320.0
41286, 320.0
41306, 320.0
41326, 320.0
41346, 325.0
41366, 325.0
41386, 325.0
41406, 325.0
41426, 325.0
41446, 322.0
41466, 322.0
41486, 322.0
41506, 322.0
41526, 322.0
41546, 319.0
41566, 319.0
41587, 319.0
41606, 319.0
41626, 319.0
41646, 325.0
41666, 325.0
41688, 325.0
41706, 325.0
41726, 325.0
41746, 324.0
41766, 324.0
41786, 324.0
41806, 324.0
41826, 324.0
41846, 317.0
41866, 317.0
41888, 317.0
41906, 317.0
41927, 317.0
41946, 319.0
41966, 319.0
41987, 319.0
42006, 319.0
42026, 319.0
42046, 324.0
42066, 324.0
42086, 324.0
42106, 324.0
42127, 324.0
42146, 32766.0
42166, 32766.0
42187, 32766.0
42206, 32766.0
42226, 32766.0
42246, 316.0
42266, 316.0
42287, 316.0
42306, 316.0
