timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
957307, 157629.296875, 118933.53125, 157760.34375, 0, 0, 0
957327, 157631.21875, 118925.3984375, 157756.484375, 155362.265625, 143903.5625, 154276.296875
957347, 157631.21875, 118933.53125, 157756.484375, 155357.859375, 143905.625, 154269.453125
957367, 157633.140625, 118929.8359375, 157758.421875, 155365.515625, 143904.25, 154273.8125
957387, 157633.140625, 118929.8359375, 157760.34375, 155367.265625, 143900.71875, 154280.671875
957408, 157629.296875, 118935.75, 157756.484375, 155359.765625, 143900.421875, 154271.328125
957427, 157629.296875, 118923.1875, 157758.421875, 155363.03125, 143898.265625, 154273.8125
957447, 157629.296875, 118931.3203125, 157758.421875, 155356.6875, 143905.328125, 154276.90625
957467, 157629.296875, 118937.96875, 157758.421875, 155365.515625, 143904.25, 154263.875
957487, 157629.296875, 118931.3203125, 157758.421875, 155360.359375, 143900.03125, 154273.8125
957507, 157631.21875, 118929.8359375, 157760.34375, 155366.6875, 143901.796875, 154266.359375
957527, 157631.21875, 118931.3203125, 157760.34375, 155368.59375, 143895.8125, 154275.703125
957548, 157627.375, 118932.796875, 157760.34375, 155366.6875, 143904.25, 154275.703125
957567, 157631.21875, 118930.5703125, 157760.34375, 155363.609375, 143901.796875, 154272.53125
957588, 157627.375, 118935.015625, 157758.421875, 155364.1875, 143902.484375, 154273.8125
957607, 157629.296875, 118935.75, 157762.28125, 155360.359375, 143906.015625, 154273.21875
957627, 157629.296875, 118935.75, 157756.484375, 155366.09375, 143904.9375, 154266.359375
957647, 157629.296875, 118927.6171875, 157758.421875, 155354.78125, 143896.5, 154265.765625
957667, 157627.375, 118929.8359375, 157762.28125, 155369.171875, 143903.5625, 154273.8125
957687, 157631.21875, 118926.140625, 157758.421875, 155361.109375, 143904.25, 154268.84375
957708, 157631.21875, 118929.1015625, 157758.421875, 155366.6875, 143906.015625, 154266.359375
957727, 157631.21875, 118932.0546875, 157756.484375, 155364.1875, 143909.828125, 154276.296875
957748, 157631.21875, 118928.3515625, 157758.421875, 155363.609375, 143901.796875, 154273.21875
957767, 157631.21875, 118932.0546875, 157762.28125, 155361.6875, 143903.5625, 154271.328125
957788, 157629.296875, 118932.796875, 157758.421875, 155357.28125, 143899.34375, 154273.8125
957807, 157629.296875, 118935.015625, 157760.34375, 155366.09375, 143903.5625, 154264.484375
957827, 157631.21875, 118936.484375, 157758.421875, 155363.609375, 143903.5625, 154268.84375
957848, 157633.140625, 118928.3671875, 157758.421875, 155365.515625, 143909.15625, 154274.421875
957867, 157629.296875, 118932.0546875, 157758.421875, 155362.265625, 143910.90625, 154273.21875
957887, 157629.296875, 118929.1015625, 157758.421875, 155358.609375, 143898.265625, 154278.1875
957907, 157629.296875, 118935.015625, 157756.484375, 155364.1875, 143908.46875, 154270.734375
957927, 157629.296875, 118934.265625, 157760.34375, 155354.203125, 143906.703125, 154274.421875
957947, 157627.375, 118927.6171875, 157758.421875, 155364.1875, 143904.25, 154263.875
957967, 157631.21875, 118938.703125, 157760.34375, 155358.609375, 143904.25, 154271.328125
957987, 157633.140625, 118931.3203125, 157758.421875, 155363.609375, 143909.828125, 154263.28125
958007, 157631.21875, 118937.96875, 157758.421875, 155369.171875, 143900.03125, 154270.734375
958027, 157629.296875, 118935.0, 157762.28125, 155358.609375, 143904.25, 154263.28125
958048, 157629.296875, 118935.75, 157756.484375, 155359.1875, 143912.671875, 154269.453125
958067, 157633.140625, 118935.75, 157760.34375, 155354.78125, 143904.25, 154275.703125
958088, 157629.296875, 118931.3203125, 157758.421875, 155361.6875, 143904.9375, 154263.875
958107, 157633.140625, 118926.8828125, 157758.421875, 155367.4375, 143895.125, 154281.953125
958127, 157629.296875, 118931.3203125, 157758.421875, 155357.28125, 143901.796875, 154268.84375
958147, 157631.21875, 118929.8359375, 157758.421875, 155357.28125, 143901.796875, 154262.59375
958167, 157627.375, 118933.53125, 157760.34375, 155363.609375, 143899.34375, 154281.265625
