timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
30942, 157841.453125, 117248.2421875, 157976.921875, 0, 0, 0
30962, 157845.3125, 117242.359375, 157974.984375, 153564.0625, 140831.453125, 151832.65625
30982, 157845.3125, 117249.7265625, 157976.921875, 153561.5625, 140837.046875, 151841.96875
31002, 157847.25, 117244.5625, 157973.046875, 153566.546875, 140843.671875, 151824.59375
31022, 157845.3125, 117246.03125, 157976.921875, 153559.0625, 140833.90625, 151833.90625
31042, 157843.390625, 117239.40625, 157974.984375, 153555.984375, 140846.109375, 151830.171875
31062, 157847.25, 117251.9140625, 157973.046875, 153563.46875, 140835.3125, 151844.4375
31082, 157845.3125, 117246.03125, 157973.046875, 153572.859375, 140840.515625, 151850.65625
31102, 157843.390625, 117251.9140625, 157973.046875, 153552.765625, 140843.984375, 151828.3125
31122, 157845.3125, 117260.0078125, 157974.984375, 153561.5625, 140838.78125, 151835.140625
31142, 157843.390625, 117246.03125, 157973.046875, 153577.84375, 140839.8125, 151835.765625
31162, 157841.453125, 117256.3359375, 157973.046875, 153557.171875, 140846.109375, 151835.140625
31182, 157845.3125, 117254.8671875, 157974.984375, 153559.78125, 140849.25, 151841.96875
31202, 157843.390625, 117250.4453125, 157974.984375, 153566.546875, 140841.921875, 151835.140625
31222, 157845.3125, 117253.3984375, 157974.984375, 153555.390625, 140838.453125, 151854.359375
31242, 157845.3125, 117256.3359375, 157973.046875, 153565.375, 140844.375, 151840.09375
31262, 157847.25, 117251.9140625, 157974.984375, 153554.078125, 140840.515625, 151848.78125
31282, 157843.390625, 117251.1875, 157974.984375, 153573.453125, 140837.75, 151837.0
31302, 157843.390625, 117253.3984375, 157973.046875, 153554.078125, 140852.71875, 151850.015625
31322, 157843.390625, 117253.3984375, 157974.984375, 153562.15625, 140859.015625, 151847.546875
31342, 157845.3125, 117257.0703125, 157976.921875, 153574.03125, 140848.546875, 151850.015625
31362, 157847.25, 117252.65625, 157973.046875, 153557.171875, 140857.609375, 151859.328125
31382, 157845.3125, 117250.4453125, 157974.984375, 153557.171875, 140848.546875, 151850.015625
31402, 157843.390625, 117252.65625, 157973.046875, 153555.265625, 140855.171875, 151841.96875
31422, 157843.390625, 117252.65625, 157973.046875, 153555.265625, 140855.171875, 151838.234375
31442, 157841.453125, 117257.0703125, 157974.984375, 153566.546875, 140844.375, 151845.0625
31462, 157847.25, 117255.609375, 157971.109375, 153561.5625, 140862.484375, 151861.8125
