timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
299008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
299020, -1.6219617128372192, -1.8799477815628052, 0.01162861380726099, 0.0007453986327163875, -0.0021235134918242693, -2.27578329941025e-05, 157247.6875, 121238.15625, 157364.359375, 157329.328125, 147928.96875, 157247.0, 0.0, 0.0, 0.0, 0.0, -1.6219863891601562, -1.8799457550048828, 0.0116167813539505, -0.4172428548336029, 32766.0
299028, -1.621961236000061, -1.8799407482147217, 0.011598759330809116, 0.0014074289938434958, -0.004273845814168453, -1.4881445167702623e-05, 157249.59375, 121240.3828125, 157366.28125, 157326.828125, 147931.4375, 157245.84375, 0.0, 0.0, 0.0, 0.0, -1.6219921112060547, -1.8798236846923828, 0.011509820818901062, -0.6119347810745239, 32766.0
299038, -1.621909260749817, -1.879987120628357, 0.011598938144743443, 0.0017215681727975607, -0.006505941040813923, 0.00010013458813773468, 157245.78125, 121244.109375, 157362.453125, 157327.390625, 147930.78125, 157250.8125, 0.0, 0.0, 0.0, 0.0, -1.6220989227294922, -1.88006591796875, 0.011780619621276855, -1.1349537372589111, 32766.0
299048, -1.6219334602355957, -1.8800597190856934, 0.011626025661826134, 0.001939476584084332, -0.008585644885897636, 3.331144398543984e-05, 157247.6875, 121239.65625, 157368.203125, 157327.390625, 147930.78125, 157250.8125, 0.0, 0.0, 0.0, 0.0, -1.6220779418945312, -1.8802165985107422, 0.011831700801849365, -1.3084498643875122, 314.0
299058, -1.621882438659668, -1.880126953125, 0.011596810072660446, 0.0022963390219956636, -0.010571237653493881, 8.685905049787834e-05, 157249.59375, 121237.4296875, 157364.359375, 157326.828125, 147923.390625, 157250.234375, 0.0, 0.0, 0.0, 0.0, -1.6216583251953125, -1.8798103332519531, 0.011358946561813354, -1.5968561172485352, 314.0
299068, -1.6218841075897217, -1.880216121673584, 0.01159374974668026, 0.002532350132241845, -0.012778637930750847, 9.739662345964462e-05, 157249.59375, 121236.65625, 157362.453125, 157326.828125, 147919.140625, 157244.515625, 0.0, 0.0, 0.0, 0.0, -1.6221694946289062, -1.8799591064453125, 0.011653125286102295, -1.8691329956054688, 314.0
299078, -1.6218678951263428, -1.8803009986877441, 0.01158568263053894, 0.002612592186778784, -0.014877642504870892, 8.169091597665101e-05, 157247.6875, 121242.609375, 157362.453125, 157333.75, 147923.390625, 157253.890625, 0.0, 0.0, 0.0, 0.0, -1.6220684051513672, -1.8799324035644531, 0.01184689998626709, -2.1176064014434814, 314.0
299088, -1.621850848197937, -1.8803883790969849, 0.01156647875905037, 0.002782917581498623, -0.016856975853443146, 0.00031205546110868454, 157247.6875, 121247.0625, 157366.28125, 157336.8125, 147935.6875, 157242.03125, 0.0, 0.0, 0.0, 0.0, -1.6218757629394531, -1.8797988891601562, 0.011400595307350159, -2.2340335845947266, 314.0
299098, -1.621857762336731, -1.880503535270691, 0.011578656733036041, 0.002883004257455468, -0.018591949716210365, 0.00038883532397449017, 157247.6875, 121240.3828125, 157364.359375, 157332.390625, 147934.375, 157246.421875, 0.0, 0.0, 0.0, 0.0, -1.6220741271972656, -1.8799457550048828, 0.011636659502983093, -2.4588582515716553, 314.0
299109, -1.6218329668045044, -1.880663275718689, 0.011584172956645489, 0.003189083654433489, -0.020537136122584343, 0.0003937864094041288, 157251.515625, 121247.0625, 157368.203125, 157324.890625, 147935.03125, 157253.890625, 0.0, 0.0, 0.0, 0.0, -1.6218795776367188, -1.879861831665039, 0.011605992913246155, -2.6641197204589844, 314.0
299118, -1.6218153238296509, -1.8808034658432007, 0.011595422402024269, 0.003287389175966382, -0.022419065237045288, 0.00044293300015851855, 157249.59375, 121239.609375, 157366.28125, 157319.34375, 147926.515625, 157250.8125, 0.0, 0.0, 0.0, 0.0, -1.6220245361328125, -1.8800277709960938, 0.011816561222076416, -2.7585368156433105, 314.0
299128, -1.6218066215515137, -1.8809609413146973, 0.011587449349462986, 0.0033666149247437716, -0.024337634444236755, 0.0003576903836801648, 157247.6875, 121239.65625, 157366.28125, 157324.890625, 147925.859375, 157239.546875, 0.0, 0.0, 0.0, 0.0, -1.6219463348388672, -1.8798828125, 0.011361941695213318, -2.9413771629333496, 314.0
