timeTick, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3
163743, 157679.359375, 118420.390625, 157810.546875, 0, 0, 0
163763, 157679.359375, 118423.3359375, 157806.671875, 154305.265625, 142655.921875, 153064.21875
163783, 157681.296875, 118425.5546875, 157806.671875, 154302.765625, 142640.1875, 153061.09375
163803, 157677.4375, 118422.6015625, 157806.671875, 154293.96875, 142644.375, 153058.0
163823, 157681.296875, 118420.390625, 157808.609375, 154298.359375, 142644.375, 153062.3125
163843, 157679.359375, 118418.9140625, 157808.609375, 154295.28125, 142641.9375, 153061.703125
163863, 157677.4375, 118427.03125, 157808.609375, 154300.859375, 142643.6875, 153074.765625
163883, 157683.21875, 118427.03125, 157806.671875, 154303.9375, 142648.21875, 153064.1875
163903, 157679.359375, 118425.5546875, 157808.609375, 154313.34375, 142641.9375, 153067.921875
163923, 157685.140625, 118424.8125, 157804.75, 154301.453125, 142655.921875, 153066.046875
163943, 157679.359375, 118423.3359375, 157808.609375, 154303.9375, 142644.375, 153069.140625
163963, 157681.296875, 118427.765625, 157808.609375, 154303.359375, 142644.375, 153068.53125
163983, 157681.296875, 118425.5546875, 157808.609375, 154304.671875, 142646.828125, 153056.734375
164003, 157679.359375, 118418.171875, 157806.671875, 154300.859375, 142651.03125, 153073.5
164023, 157681.296875, 118421.125, 157806.671875, 154297.046875, 142656.609375, 153056.734375
164043, 157677.4375, 118423.3359375, 157808.609375, 154308.9375, 142651.03125, 153072.28125
164063, 157681.296875, 118425.5546875, 157806.671875, 154303.9375, 142653.46875, 153066.046875
164083, 157683.21875, 118424.078125, 157808.609375, 154302.03125, 142649.96875, 153068.53125
164103, 157679.359375, 118421.125, 157806.671875, 154295.875, 142647.515625, 153075.375
164123, 157677.4375, 118418.171875, 157806.671875, 154308.9375, 142652.78125, 153082.8125
164143, 157679.359375, 118423.3359375, 157808.609375, 154306.4375, 142647.890625, 153082.21875
164163, 157679.359375, 118414.484375, 157806.671875, 154303.359375, 142649.28125, 153070.40625
164183, 157681.296875, 118433.671875, 157806.671875, 154296.453125, 142653.46875, 153072.890625
164203, 157677.4375, 118424.078125, 157812.46875, 154303.359375, 142647.515625, 153066.046875
164223, 157681.296875, 118429.2421875, 157804.75, 154298.359375, 142649.28125, 153066.046875
164243, 157681.296875, 118423.3359375, 157808.609375, 154302.03125, 142651.03125, 153072.890625
164263, 157679.359375, 118418.9140625, 157808.609375, 154306.4375, 142651.03125, 153063.578125
164283, 157683.21875, 118432.1953125, 157808.609375, 154318.328125, 142654.171875, 153067.921875
164303, 157679.359375, 118421.859375, 157806.671875, 154294.546875, 142649.28125, 153074.109375
164323, 157681.296875, 118430.71875, 157806.671875, 154299.546875, 142651.03125, 153061.09375
164343, 157679.359375, 118426.2890625, 157804.75, 154293.96875, 142645.078125, 153071.015625
164363, 157679.359375, 118427.03125, 157806.671875, 154310.25, 142651.03125, 153071.015625
164383, 157677.4375, 118421.125, 157802.8125, 154294.546875, 142655.234375, 153071.015625
164403, 157679.359375, 118426.2890625, 157808.609375, 154305.84375, 142647.515625, 153080.953125
164423, 157681.296875, 118432.1953125, 157806.671875, 154306.4375, 142655.921875, 153061.703125
164443, 157681.296875, 118428.5078125, 157810.546875, 154299.546875, 142657.671875, 153080.34375
164463, 157681.296875, 118432.1953125, 157806.671875, 154302.765625, 142649.96875, 153061.09375
164483, 157681.296875, 118430.71875, 157806.671875, 154303.9375, 142653.46875, 153061.09375
164503, 157677.4375, 118428.5078125, 157806.671875, 154304.53125, 142644.375, 153083.421875
164543, 157679.359375, 118426.2890625, 157806.671875, 154297.046875, 142658.375, 153071.625
164563, 157677.4375, 118428.5078125, 157806.671875, 154291.46875, 142654.859375, 153062.921875
164583, 157677.4375, 118422.6015625, 157808.609375, 154291.46875, 142654.859375, 153062.921875
164603, 157675.515625, 118429.9765625, 157808.609375, 154308.9375, 142646.828125, 153061.09375
164623, 157679.359375, 118425.5546875, 157806.671875, 154308.9375, 142646.828125, 153061.09375
164663, 157677.4375, 118420.3828125, 157806.671875, 154302.03125, 142654.171875, 153064.1875
164683, 157677.4375, 118430.71875, 157806.671875, 154306.4375, 142654.171875, 153080.953125
164703, 157677.4375, 118429.2421875, 157806.671875, 154300.859375, 142654.859375, 153063.578125
164723, 157679.359375, 118432.1953125, 157808.609375, 154313.34375, 142656.609375, 153074.109375
164743, 157677.4375, 118421.125, 157806.671875, 154308.9375, 142663.265625, 153069.75
164763, 157677.4375, 118433.671875, 157806.671875, 154311.421875, 142656.609375, 153068.53125
164803, 157677.4375, 118425.5546875, 157808.609375, 154297.640625, 142655.921875, 153070.40625
164823, 157679.359375, 118436.625, 157806.671875, 154300.125, 142654.859375, 153066.65625
164863, 157677.4375, 118429.2421875, 157806.671875, 154308.34375, 142654.859375, 153064.1875
164883, 157681.296875, 118427.765625, 157810.546875, 154305.84375, 142651.71875, 153077.859375
164903, 157677.4375, 118427.765625, 157806.671875, 154299.546875, 142662.203125, 153071.625
164943, 157675.515625, 118425.5546875, 157810.546875, 154303.359375, 142663.265625, 153075.984375
164963, 157681.296875, 118428.5, 157806.671875, 154306.4375, 142656.609375, 153083.421875
164983, 157679.359375, 118435.1484375, 157806.671875, 154306.4375, 142656.609375, 153083.421875
165003, 157679.359375, 118433.671875, 157804.75, 154302.03125, 142657.3125, 153068.53125
165023, 157683.21875, 118425.5546875, 157808.609375, 154300.265625, 142660.8125, 153082.21875
165043, 157677.4375, 118429.2421875, 157810.546875, 154312.015625, 142671.296875, 153078.46875
165063, 157681.296875, 118436.625, 157806.671875, 154306.4375, 142657.3125, 153076.59375
165083, 157679.359375, 118432.1953125, 157808.609375, 154303.9375, 142659.75, 153080.34375
165103, 157675.515625, 118433.671875, 157810.546875, 154305.84375, 142663.953125, 153067.265625
165123, 157679.359375, 118431.453125, 157804.75, 154312.609375, 142656.609375, 153072.890625
165163, 157679.359375, 118431.453125, 157806.671875, 154310.84375, 142665.015625, 153072.234375
165183, 157677.4375, 118435.8828125, 157806.671875, 154310.84375, 142665.015625, 153072.234375
165203, 157679.359375, 118434.40625, 157804.75, 154304.53125, 142660.8125, 153073.5
165223, 157679.359375, 118439.5703125, 157806.671875, 154310.25, 142661.515625, 153073.5
165243, 157677.4375, 118432.1953125, 157806.671875, 154310.25, 142661.515625, 153073.5
165263, 157679.359375, 118428.5, 157808.609375, 154307.765625, 142665.015625, 153077.203125
165283, 157677.4375, 118432.1953125, 157808.609375, 154307.765625, 142665.015625, 153077.203125
165303, 157679.359375, 118435.1484375, 157806.671875, 154310.25, 142668.15625, 153076.59375
165323, 157681.296875, 118433.671875, 157808.609375, 154301.453125, 142666.40625, 153079.6875
165343, 157673.578125, 118428.5, 157808.609375, 154301.453125, 142659.75, 153074.109375
165363, 157679.359375, 118430.71875, 157806.671875, 154303.359375, 142665.703125, 153079.078125
165403, 157679.359375, 118437.359375, 157806.671875, 154308.34375, 142665.703125, 153083.421875
165423, 157677.4375, 118429.2421875, 157806.671875, 154310.84375, 142659.0625, 153071.015625
165443, 157679.359375, 118426.2890625, 157806.671875, 154295.734375, 142661.515625, 153079.6875
165463, 157681.296875, 118427.765625, 157804.75, 154303.359375, 142665.703125, 153077.25
165503, 157677.4375, 118437.359375, 157802.8125, 154307.03125, 142655.5625, 153075.984375
165523, 157677.4375, 118430.71875, 157806.671875, 154303.9375, 142665.015625, 153084.03125
165543, 157675.515625, 118431.453125, 157810.546875, 154306.4375, 142654.859375, 153071.625
165563, 157683.21875, 118433.671875, 157804.75, 154310.84375, 142666.40625, 153071.625
165583, 157681.296875, 118425.5546875, 157806.671875, 154312.75, 142666.40625, 153080.953125
165603, 157679.359375, 118435.1484375, 157804.75, 154290.15625, 142656.609375, 153085.296875
165623, 157677.4375, 118432.1953125, 157806.671875, 154290.15625, 142656.609375, 153085.296875
165643, 157677.4375, 118426.2890625, 157806.671875, 154308.9375, 142668.84375, 153078.46875
165663, 157677.4375, 118435.1484375, 157806.671875, 154313.921875, 142668.84375, 153084.03125
165683, 157677.4375, 118432.1953125, 157804.75, 154308.9375, 142669.546875, 153079.078125
165703, 157677.4375, 118434.40625, 157804.75, 154308.34375, 142668.84375, 153083.421875
165723, 157679.359375, 118432.9296875, 157806.671875, 154302.625, 142660.125, 153072.234375
165743, 157681.296875, 118434.40625, 157808.609375, 154306.4375, 142657.3125, 153076.59375
