timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, laserFront
1070223, -2.2368366718292236, -1.7521023750305176, 0.022803056985139847, 1.453918695449829, 10.070178985595703, -0.896819531917572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1070242, -2.2372238636016846, -1.751926064491272, 0.02219947800040245, -0.00030330196022987366, -0.002117119263857603, 0.0001522881502751261, 157617.75, 118850.0390625, 157742.984375, 155516.15625, 144470.578125, 154710.625, 0.0, 0.0, 0.0, 0.0, -2.2373886108398438, -1.751852035522461, 0.021959155797958374, -0.04012913256883621, 273.0
1070262, -2.237081527709961, -1.7520596981048584, 0.02236984856426716, -0.000448548118583858, -0.006234045140445232, 0.00047157256631180644, 157617.75, 118852.2421875, 157744.90625, 155538.046875, 144456.140625, 154720.46875, 0.0, 0.0, 0.0, 0.0, -2.236927032470703, -1.7520885467529297, 0.022547662258148193, -0.18520806729793549, 275.0
1070282, -2.2371065616607666, -1.7521648406982422, 0.022345881909132004, -0.0004491305153351277, -0.009875577874481678, 0.0004829784156754613, 157619.671875, 118858.90625, 157746.84375, 155517.328125, 144462.8125, 154714.3125, 0.0, 0.0, 0.0, 0.0, -2.2373390197753906, -1.751974105834961, 0.022033482789993286, -0.275572270154953, 275.0
1070302, -2.2370903491973877, -1.7523208856582642, 0.022356655448675156, -0.0006638420163653791, -0.013685790821909904, 0.0002424545818939805, 157621.59375, 118850.7734375, 157746.84375, 155514.828125, 144468.125, 154723.65625, 0.0, 0.0, 0.0, 0.0, -2.2373504638671875, -1.7517318725585938, 0.021944522857666016, -0.3813741207122803, 275.0
1070322, -2.2370965480804443, -1.7524980306625366, 0.022351298481225967, -0.0006004077731631696, -0.017033817246556282, 0.00027809501625597477, 157619.671875, 118858.90625, 157744.90625, 155514.25, 144460.359375, 154720.5625, 0.0, 0.0, 0.0, 0.0, -2.2373924255371094, -1.7519245147705078, 0.02192068099975586, -0.44693294167518616, 275.0
1070343, -2.2371315956115723, -1.7527201175689697, 0.02232406847178936, -0.0009928728686645627, -0.019640445709228516, 4.005466325907037e-05, 157619.671875, 118861.1171875, 157741.046875, 155529.21875, 144473.71875, 154724.25, 0.0, 0.0, 0.0, 0.0, -2.237171173095703, -1.7519493103027344, 0.022289037704467773, -0.5270613431930542, 275.0
1070362, -2.237138509750366, -1.752982258796692, 0.022314641624689102, -0.0009444620227441192, -0.022572236135601997, 6.299906090134755e-06, 157619.671875, 118854.46875, 157741.046875, 155524.8125, 144468.125, 154725.53125, 0.0, 0.0, 0.0, 0.0, -2.2372283935546875, -1.7518939971923828, 0.022178441286087036, -0.5789786577224731, 272.0
1070383, -2.237110137939453, -1.753308653831482, 0.022359926253557205, -0.0007287804619409144, -0.026505721732974052, 0.00035345720243640244, 157617.75, 118855.203125, 157742.984375, 155527.3125, 144462.8125, 154711.828125, 0.0, 0.0, 0.0, 0.0, -2.236980438232422, -1.7519798278808594, 0.022541284561157227, -0.6555023789405823, 272.0
1070402, -2.2371087074279785, -1.7536072731018066, 0.022346042096614838, -0.0007589946035295725, -0.028808750212192535, -0.00020350869453977793, 157619.671875, 118853.7265625, 157741.046875, 155512.328125, 144468.8125, 154718.078125, 0.0, 0.0, 0.0, 0.0, -2.236988067626953, -1.751943588256836, 0.022414743900299072, -0.6947340369224548, 272.0
1070423, -2.237100601196289, -1.753998041152954, 0.022360827773809433, -0.0008174740942195058, -0.0317036397755146, -0.00010266264143865556, 157617.75, 118852.9921875, 157741.046875, 155523.65625, 144461.453125, 154708.046875, 0.0, 0.0, 0.0, 0.0, -2.2369422912597656, -1.7520408630371094, 0.022594094276428223, -0.7433961629867554, 272.0
1070442, -2.237103223800659, -1.7542210817337036, 0.02233181893825531, -0.0006190198473632336, -0.033017028123140335, -0.0004042735672555864, 157617.75, 118846.34375, 157741.046875, 155507.921875, 144460.359375, 154716.1875, 0.0, 0.0, 0.0, 0.0, -2.237041473388672, -1.7519493103027344, 0.022318392992019653, -0.7731894850730896, 272.0
1070462, -2.2370853424072266, -1.7546706199645996, 0.022346647456288338, -0.00047545021516270936, -0.035502903163433075, -4.6144137741066515e-05, 157617.75, 118860.3828125, 157748.765625, 155524.234375, 144473.71875, 154706.859375, 0.0, 0.0, 0.0, 0.0, -2.237071990966797, -1.7519721984863281, 0.022224992513656616, -0.8119169473648071, 273.0
1070484, -2.237051010131836, -1.7548580169677734, 0.02236272767186165, -1.068965775630204e-05, -0.035842716693878174, 0.00011243495828239247, 157617.75, 118850.03125, 157744.90625, 155522.3125, 144467.03125, 154721.765625, 0.0, 0.0, 0.0, 0.0, -2.23699951171875, -1.751943588256836, 0.022425949573516846, -0.8394514918327332, 273.0
1070502, -2.2370452880859375, -1.75495183467865, 0.022353356704115868, 0.0003184992528986186, -0.03521045669913292, 0.00046772288624197245, 157617.75, 118858.90625, 157742.984375, 155524.234375, 144468.125, 154730.5, 0.0, 0.0, 0.0, 0.0, -2.2370758056640625, -1.7519912719726562, 0.022294163703918457, -0.8714203238487244, 273.0
1070522, -2.2370388507843018, -1.7552053928375244, 0.022354254499077797, 0.0002518476394470781, -0.03518246114253998, 0.0004426877712830901, 157617.75, 118852.9921875, 157744.90625, 155533.640625, 144458.59375, 154716.1875, 0.0, 0.0, 0.0, 0.0, -2.2373123168945312, -1.7520008087158203, 0.0220930278301239, -0.8947240710258484, 273.0
1070544, -2.2370364665985107, -1.755231499671936, 0.022341078147292137, 0.0004248149343766272, -0.03398850932717323, 0.0004688000772148371, 157619.671875, 118850.7734375, 157748.765625, 155524.234375, 144454.78125, 154716.1875, 0.0, 0.0, 0.0, 0.0, -2.2373123168945312, -1.7518024444580078, 0.021918952465057373, -0.9240965843200684, 273.0
1070562, -2.2369883060455322, -1.7552303075790405, 0.022391295060515404, 0.0007355670095421374, -0.03289926052093506, 0.00032843989902175963, 157617.75, 118850.7734375, 157742.984375, 155519.8125, 144466.359375, 154712.421875, 0.0, 0.0, 0.0, 0.0, -2.237010955810547, -1.7520294189453125, 0.02244451642036438, -0.9427127838134766, 275.0
1070583, -2.236999273300171, -1.7552955150604248, 0.022356024011969566, 0.00059393240371719, -0.03186338022351265, 0.0002076810778817162, 157617.75, 118846.34375, 157744.90625, 155523.65625, 144464.578125, 154712.421875, 0.0, 0.0, 0.0, 0.0, -2.237010955810547, -1.7520465850830078, 0.02228716015815735, -0.9669715166091919, 275.0
1070602, -2.2369773387908936, -1.7552335262298584, 0.022362112998962402, 0.0007256500539369881, -0.03066294826567173, 0.0003892607055604458, 157617.75, 118855.203125, 157742.984375, 155514.828125, 144471.9375, 154728.625, 0.0, 0.0, 0.0, 0.0, -2.2368545532226562, -1.7521610260009766, 0.022517383098602295, -0.9882824420928955, 275.0
1070622, -2.2369589805603027, -1.7550238370895386, 0.022367073222994804, 0.0010084231616929173, -0.029363714158535004, 0.0004941574297845364, 157617.75, 118847.078125, 157748.765625, 155517.328125, 144463.21875, 154719.28125, 0.0, 0.0, 0.0, 0.0, -2.237133026123047, -1.7519302368164062, 0.022112995386123657, -1.0035207271575928, 275.0
1070642, -2.2369446754455566, -1.7551943063735962, 0.02240481972694397, 0.0010256043169647455, -0.029391203075647354, 0.0007835373398847878, 157615.828125, 118855.953125, 157741.046875, 155521.15625, 144466.359375, 154726.734375, 0.0, 0.0, 0.0, 0.0, -2.23699951171875, -1.7520599365234375, 0.022555112838745117, -1.0222902297973633, 275.0
1070662, -2.2369518280029297, -1.75510835647583, 0.02237836644053459, 0.0011306595988571644, -0.028300536796450615, 0.0008517103269696236, 157617.75, 118860.3828125, 157744.90625, 155517.328125, 144476.15625, 154719.28125, 0.0, 0.0, 0.0, 0.0, -2.237018585205078, -1.7519817352294922, 0.022260397672653198, -1.0397168397903442, 274.0
1070683, -2.236947774887085, -1.7551485300064087, 0.022377362474799156, 0.001442320179194212, -0.02760278806090355, 0.000833019323181361, 157617.75, 118856.6875, 157746.84375, 155521.15625, 144465.265625, 154721.765625, 0.0, 0.0, 0.0, 0.0, -2.2368850708007812, -1.7520217895507812, 0.02262437343597412, -1.046998381614685, 274.0
1070702, -2.236907958984375, -1.7550605535507202, 0.02241215668618679, 0.0016303546726703644, -0.026754748076200485, 0.0008190320804715157, 157619.671875, 118855.203125, 157748.765625, 155521.734375, 144467.03125, 154713.109375, 0.0, 0.0, 0.0, 0.0, -2.2369461059570312, -1.7520313262939453, 0.022430747747421265, -1.0474269390106201, 274.0
1070722, -2.2369563579559326, -1.7546483278274536, 0.022352151572704315, 0.001438924460671842, -0.02405075915157795, 0.00041892321314662695, 157615.828125, 118850.7734375, 157742.984375, 155524.8125, 144469.484375, 154716.796875, 0.0, 0.0, 0.0, 0.0, -2.237407684326172, -1.7518787384033203, 0.021809101104736328, -1.056243896484375, 274.0
1070742, -2.236910104751587, -1.7547706365585327, 0.02240816503763199, 0.0017515926156193018, -0.024314481765031815, 0.0007158471853472292, 157619.671875, 118856.6875, 157742.984375, 155524.234375, 144475.484375, 154718.671875, 0.0, 0.0, 0.0, 0.0, -2.236919403076172, -1.7521648406982422, 0.022687643766403198, -1.063202977180481, 274.0
1070762, -2.2368996143341064, -1.7546230554580688, 0.022390829399228096, 0.0016562670934945345, -0.023109667003154755, 0.00039959014975465834, 157615.828125, 118849.296875, 157742.984375, 155519.234375, 144465.265625, 154715.5, 0.0, 0.0, 0.0, 0.0, -2.237415313720703, -1.7518196105957031, 0.021754294633865356, -1.0656423568725586, 274.0
1070782, -2.2369115352630615, -1.7546231746673584, 0.022376708686351776, 0.0014485043939203024, -0.022838477045297623, 0.0002929731272161007, 157615.828125, 118854.46875, 157744.90625, 155524.234375, 144468.8125, 154717.390625, 0.0, 0.0, 0.0, 0.0, -2.236949920654297, -1.7519855499267578, 0.022421717643737793, -1.0640925168991089, 274.0
1070802, -2.2369072437286377, -1.7545373439788818, 0.02235136739909649, 0.001405546790920198, -0.022110287100076675, -4.099264060641872e-06, 157617.75, 118856.6875, 157742.984375, 155526.140625, 144468.125, 154723.046875, 0.0, 0.0, 0.0, 0.0, -2.236919403076172, -1.7520694732666016, 0.022539883852005005, -1.0693190097808838, 274.0
1070823, -2.2368783950805664, -1.7545967102050781, 0.022373218089342117, 0.0018722909735515714, -0.02213386632502079, 0.0003325843717902899, 157617.75, 118852.9921875, 157742.984375, 155528.640625, 144475.484375, 154721.15625, 0.0, 0.0, 0.0, 0.0, -2.236907958984375, -1.7519245147705078, 0.02238646149635315, -1.0698952674865723, 274.0
1070842, -2.2368760108947754, -1.7544957399368286, 0.022368406876921654, 0.0017474227352067828, -0.021518919616937637, 0.00033672552672214806, 157621.59375, 118862.6015625, 157744.90625, 155531.71875, 144474.390625, 154723.65625, 0.0, 0.0, 0.0, 0.0, -2.2370033264160156, -1.752004623413086, 0.022375017404556274, -1.0681835412979126, 274.0
1070862, -2.236875295639038, -1.7545021772384644, 0.022353120148181915, 0.0014876268105581403, -0.021230284124612808, 0.0005207309150137007, 157617.75, 118856.6875, 157742.984375, 155531.71875, 144469.484375, 154716.1875, 0.0, 0.0, 0.0, 0.0, -2.237079620361328, -1.7519397735595703, 0.02233251929283142, -1.069083571434021, 276.0
1070884, -2.236870765686035, -1.754555583000183, 0.022370319813489914, 0.0014669180382043123, -0.021782100200653076, 0.0009489809162914753, 157619.671875, 118864.8125, 157748.765625, 155524.234375, 144469.484375, 154724.9375, 0.0, 0.0, 0.0, 0.0, -2.237041473388672, -1.7521724700927734, 0.022743940353393555, -1.0688985586166382, 276.0
1070902, -2.2368857860565186, -1.754395842552185, 0.022362306714057922, 0.0013505812967196107, -0.020898940041661263, 0.0011046759318560362, 157621.59375, 118855.203125, 157746.84375, 155518.65625, 144462.8125, 154725.53125, 0.0, 0.0, 0.0, 0.0, -2.2370452880859375, -1.7519989013671875, 0.02248746156692505, -1.0687918663024902, 276.0
1070924, -2.236865282058716, -1.7544629573822021, 0.0224043857306242, 0.0012644712114706635, -0.021020988002419472, 0.0010089953429996967, 157619.671875, 118854.46875, 157741.046875, 155521.734375, 144463.90625, 154712.421875, 0.0, 0.0, 0.0, 0.0, -2.2366905212402344, -1.7521381378173828, 0.022699415683746338, -1.0719274282455444, 276.0
1070945, -2.2368712425231934, -1.7544232606887817, 0.022394845262169838, 0.0010348312789574265, -0.021035969257354736, 0.0005460944958031178, 157617.75, 118853.7265625, 157744.90625, 155526.140625, 144466.359375, 154734.28125, 0.0, 0.0, 0.0, 0.0, -2.237323760986328, -1.7519817352294922, 0.02196115255355835, -1.0728867053985596, 276.0
1070962, -2.2368955612182617, -1.7543747425079346, 0.022388210520148277, 0.0012304875999689102, -0.020557289943099022, 0.0006595078739337623, 157621.59375, 118858.1640625, 157746.84375, 155532.296875, 144464.578125, 154716.796875, 0.0, 0.0, 0.0, 0.0, -2.2369537353515625, -1.752096176147461, 0.022512376308441162, -1.0696508884429932, 273.0
1070982, -2.236898183822632, -1.7544121742248535, 0.02237606793642044, 0.0012417942052707076, -0.020326880738139153, 0.00041367727681063116, 157615.828125, 118850.7734375, 157746.84375, 155529.21875, 144475.484375, 154713.703125, 0.0, 0.0, 0.0, 0.0, -2.2373428344726562, -1.75201416015625, 0.02210637927055359, -1.071873426437378, 273.0
1071002, -2.2368900775909424, -1.7543741464614868, 0.022384950891137123, 0.0012895757099613547, -0.02037901058793068, 0.0006548636010847986, 157619.671875, 118864.0703125, 157744.90625, 155533.640625, 144478.609375, 154721.15625, 0.0, 0.0, 0.0, 0.0, -2.2369003295898438, -1.7520885467529297, 0.022595852613449097, -1.0763391256332397, 273.0
1071022, -2.2368664741516113, -1.7545288801193237, 0.02241186611354351, 0.0011909320019185543, -0.021107183769345284, 0.0007844496867619455, 157613.90625, 118852.2578125, 157744.90625, 155522.3125, 144471.9375, 154721.15625, 0.0, 0.0, 0.0, 0.0, -2.2370681762695312, -1.7520484924316406, 0.022324472665786743, -1.0765962600708008, 273.0
1071042, -2.2368967533111572, -1.7544773817062378, 0.02238459512591362, 0.0009892936795949936, -0.020491227507591248, 0.0005813864408992231, 157619.671875, 118857.421875, 157746.84375, 155519.8125, 144471.265625, 154722.359375, 0.0, 0.0, 0.0, 0.0, -2.2371788024902344, -1.7519207000732422, 0.022200047969818115, -1.0769591331481934, 273.0
1071062, -2.23688006401062, -1.7544442415237427, 0.022418854758143425, 0.0012263018870726228, -0.02004258893430233, 0.00084628228796646, 157615.828125, 118851.5078125, 157746.84375, 155526.140625, 144476.15625, 154723.65625, 0.0, 0.0, 0.0, 0.0, -2.236907958984375, -1.7520503997802734, 0.022458314895629883, -1.0741208791732788, 276.0
1071082, -2.2368764877319336, -1.7545335292816162, 0.022409595549106598, 0.0012168996036052704, -0.02033909223973751, 0.0009524654014967382, 157617.75, 118855.203125, 157744.90625, 155526.734375, 144471.265625, 154716.796875, 0.0, 0.0, 0.0, 0.0, -2.2370223999023438, -1.7519969940185547, 0.02232775092124939, -1.0720570087432861, 276.0
1071102, -2.2368698120117188, -1.7545092105865479, 0.02242915891110897, 0.001367090386338532, -0.020472733303904533, 0.0007913500885479152, 157619.671875, 118857.421875, 157744.90625, 155519.8125, 144487.75, 154726.140625, 0.0, 0.0, 0.0, 0.0, -2.2369766235351562, -1.7519149780273438, 0.022480249404907227, -1.0702390670776367, 276.0
1071122, -2.236874580383301, -1.754556655883789, 0.022404681891202927, 0.0013595112832263112, -0.020777717232704163, 0.00040103026549331844, 157617.75, 118856.6875, 157746.84375, 155515.984375, 144468.8125, 154718.671875, 0.0, 0.0, 0.0, 0.0, -2.2370338439941406, -1.7519760131835938, 0.022239238023757935, -1.0670220851898193, 276.0
1071142, -2.236884117126465, -1.754496455192566, 0.022387497127056122, 0.001308221835643053, -0.020598063245415688, 0.0004632874915841967, 157621.59375, 118862.59375, 157746.84375, 155524.234375, 144475.484375, 154727.328125, 0.0, 0.0, 0.0, 0.0, -2.2370567321777344, -1.752105712890625, 0.022514045238494873, -1.066534161567688, 276.0
1071162, -2.2368953227996826, -1.7544466257095337, 0.02236146293580532, 0.0013997363857924938, -0.020169449970126152, 0.0005279630422592163, 157617.75, 118856.6875, 157744.90625, 155528.640625, 144471.265625, 154707.453125, 0.0, 0.0, 0.0, 0.0, -2.236774444580078, -1.7520599365234375, 0.022693008184432983, -1.0680835247039795, 277.0
1071182, -2.2368714809417725, -1.7545429468154907, 0.022388173267245293, 0.0012953999685123563, -0.02076752297580242, 0.00028808199567720294, 157615.828125, 118852.2578125, 157744.90625, 155528.0625, 144473.03125, 154729.21875, 0.0, 0.0, 0.0, 0.0, -2.2368011474609375, -1.7521076202392578, 0.022665411233901978, -1.0656644105911255, 277.0
1071202, -2.2368812561035156, -1.7545149326324463, 0.02237764745950699, 0.0012644670205190778, -0.020416568964719772, 0.00023809469712432474, 157617.75, 118858.90625, 157748.765625, 155531.71875, 144473.71875, 154724.25, 0.0, 0.0, 0.0, 0.0, -2.2369918823242188, -1.7520370483398438, 0.022509515285491943, -1.0633832216262817, 277.0
1071222, -2.2368855476379395, -1.754406452178955, 0.022378189489245415, 0.0010948358103632927, -0.019992738962173462, 0.00030906187021173537, 157617.75, 118861.1171875, 157742.984375, 155534.21875, 144471.265625, 154723.65625, 0.0, 0.0, 0.0, 0.0, -2.2369346618652344, -1.7521953582763672, 0.02251294255256653, -1.0618542432785034, 277.0
1071242, -2.2368855476379395, -1.7545546293258667, 0.022385668009519577, 0.00046252700849436224, -0.020339179784059525, 0.0004921305226162076, 157615.828125, 118846.34375, 157746.84375, 155515.40625, 144476.15625, 154727.328125, 0.0, 0.0, 0.0, 0.0, -2.2371063232421875, -1.7519149780273438, 0.022261887788772583, -1.060828447341919, 277.0
1071262, -2.2369143962860107, -1.7543079853057861, 0.02237652987241745, 0.000261313485680148, -0.019253652542829514, 0.0005914726061746478, 157619.671875, 118854.46875, 157741.046875, 155526.734375, 144472.625, 154717.390625, 0.0, 0.0, 0.0, 0.0, -2.2370948791503906, -1.7519798278808594, 0.02233356237411499, -1.0576636791229248, 275.0
1071282, -2.2369213104248047, -1.7545703649520874, 0.022380582988262177, 0.00011626113700913265, -0.020289624109864235, 0.000481193361338228, 157617.75, 118852.9921875, 157742.984375, 155524.234375, 144476.84375, 154725.53125, 0.0, 0.0, 0.0, 0.0, -2.2369003295898438, -1.7520217895507812, 0.022609561681747437, -1.0576452016830444, 275.0
1071302, -2.236931562423706, -1.7545344829559326, 0.02238655649125576, 0.00015284174878615886, -0.02017476223409176, 0.0005629296065308154, 157619.671875, 118858.90625, 157746.84375, 155529.796875, 144473.71875, 154729.90625, 0.0, 0.0, 0.0, 0.0, -2.2369728088378906, -1.7521381378173828, 0.022637605667114258, -1.0565950870513916, 275.0
1071323, -2.2369580268859863, -1.7544924020767212, 0.02236955054104328, -0.00023823222727514803, -0.01976068876683712, 0.0005435221246443689, 157615.828125, 118856.6875, 157744.90625, 155520.390625, 144478.609375, 154731.703125, 0.0, 0.0, 0.0, 0.0, -2.2370681762695312, -1.7521190643310547, 0.022359102964401245, -1.0535142421722412, 275.0
1071342, -2.236982822418213, -1.7543482780456543, 0.02236524596810341, -0.0002956682292278856, -0.019015368074178696, 0.0004020800406578928, 157619.671875, 118849.296875, 157746.84375, 155527.3125, 144471.9375, 154720.46875, 0.0, 0.0, 0.0, 0.0, -2.2373886108398438, -1.7519187927246094, 0.022119462490081787, -1.0514976978302002, 275.0
1071362, -2.2369742393493652, -1.7543282508850098, 0.02238653041422367, 2.5616078346502036e-05, -0.018950408324599266, 0.0005506983143277466, 157617.75, 118861.8515625, 157742.984375, 155526.140625, 144476.15625, 154724.25, 0.0, 0.0, 0.0, 0.0, -2.2369003295898438, -1.7521324157714844, 0.022594690322875977, -1.0501642227172852, 273.0
1071383, -2.2369847297668457, -1.7542915344238281, 0.022381918504834175, 0.00012151473492849618, -0.01865324378013611, 0.0006084718625061214, 157617.75, 118858.90625, 157744.90625, 155538.625, 144471.9375, 154738.5625, 0.0, 0.0, 0.0, 0.0, -2.2373199462890625, -1.7520217895507812, 0.022061586380004883, -1.05124032497406, 273.0
1071402, -2.236988067626953, -1.754360556602478, 0.022383758798241615, 0.00010777376883197576, -0.01920524425804615, 3.7882102333242074e-05, 157617.75, 118856.6875, 157742.984375, 155524.234375, 144473.71875, 154721.765625, 0.0, 0.0, 0.0, 0.0, -2.2371597290039062, -1.7520160675048828, 0.022417455911636353, -1.0489630699157715, 273.0
1071422, -2.2370030879974365, -1.7544074058532715, 0.02235301211476326, 7.821420149412006e-05, -0.019214831292629242, 7.033040310489014e-05, 157619.671875, 118855.203125, 157741.046875, 155526.140625, 144466.625, 154733.59375, 0.0, 0.0, 0.0, 0.0, -2.2372283935546875, -1.7520980834960938, 0.022310346364974976, -1.0478333234786987, 273.0
1071442, -2.2369937896728516, -1.7543822526931763, 0.02235313132405281, 0.00039380998350679874, -0.019184710457921028, 0.0004214037908241153, 157621.59375, 118861.1171875, 157746.84375, 155529.796875, 144477.9375, 154720.46875, 0.0, 0.0, 0.0, 0.0, -2.2372398376464844, -1.7519416809082031, 0.02199655771255493, -1.0460777282714844, 273.0
1071462, -2.236992597579956, -1.754356861114502, 0.022363130003213882, 0.0003345937584526837, -0.0191413015127182, 0.0005705635412596166, 157615.828125, 118861.1171875, 157748.765625, 155532.296875, 144480.390625, 154726.734375, 0.0, 0.0, 0.0, 0.0, -2.2372817993164062, -1.7519378662109375, 0.02173018455505371, -1.0441467761993408, 273.0
1071482, -2.2369914054870605, -1.7544127702713013, 0.022354107350111008, 0.00041236699325963855, -0.019274581223726273, 0.0005426662974059582, 157617.75, 118856.6875, 157741.046875, 155538.625, 144483.515625, 154731.109375, 0.0, 0.0, 0.0, 0.0, -2.2369651794433594, -1.7521438598632812, 0.022490859031677246, -1.0430599451065063, 273.0
