timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch, laserFront
270401, 0.15223537385463715, -0.4878532290458679, 1.2530477046966553, -0.004690658301115036, -0.03128233924508095, -0.01272885873913765, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
270421, 0.15213026106357574, -0.48908793926239014, 1.2527656555175781, -0.004849039018154144, -0.03041522577404976, -0.012610098347067833, 157746.84375, 123321.2421875, 157833.71875, 150593.375, 143667.625, 161737.5625, 38944.0, 47232.0, 41316.0, 50557.0, 0.15222764015197754, -0.49411439895629883, 1.252645492553711, 0.24570266902446747, -0.021458595991134644, 984.0
270441, 0.15207509696483612, -0.4905056059360504, 1.252418041229248, -0.004497277084738016, -0.03011368401348591, -0.012078184634447098, 157746.84375, 123316.7578125, 157831.796875, 150594.0, 143667.625, 161744.53125, 38668.0, 46938.0, 41438.0, 50620.0, 0.15226149559020996, -0.4950895309448242, 1.2520751953125, 0.239922896027565, -0.24013826251029968, 982.0
270461, 0.15205278992652893, -0.49184027314186096, 1.2523036003112793, -0.003139359410852194, -0.029453150928020477, -0.008161520585417747, 157744.90625, 123323.484375, 157833.71875, 150595.25, 143677.4375, 161751.515625, 40663.0, 46083.0, 39332.0, 51347.0, 0.15195608139038086, -0.4963235855102539, 1.252878189086914, 0.23271773755550385, -0.6370543241500854, 982.0
270481, 0.15220098197460175, -0.4932296574115753, 1.2523081302642822, 0.0003688428259920329, -0.02897036261856556, -0.004955956246703863, 157741.046875, 123325.7265625, 157831.796875, 150591.515625, 143677.4375, 161735.0625, 41574.0, 45217.0, 37901.0, 51807.0, 0.15349888801574707, -0.49797964096069336, 1.2526359558105469, 0.21325816214084625, -1.2072434425354004, 982.0
270501, 0.15240801870822906, -0.49441421031951904, 1.2523071765899658, 0.006041058339178562, -0.027645332738757133, -0.002700891112908721, 157742.984375, 123327.2578125, 157837.59375, 150599.59375, 143678.125, 161747.046875, 42279.0, 46698.0, 37015.0, 50758.0, 0.15325522422790527, -0.4989004135131836, 1.2529125213623047, 0.19046352803707123, -1.8996012210845947, 982.0
270521, 0.1527520716190338, -0.49576160311698914, 1.2523590326309204, 0.013854178600013256, -0.027570588514208794, -0.0001272302179131657, 157744.90625, 123325.7265625, 157833.71875, 150594.609375, 143685.46875, 161740.0625, 42472.0, 45142.0, 36617.0, 51748.0, 0.15337061882019043, -0.5005574226379395, 1.25262451171875, 0.17181475460529327, -2.506047010421753, 982.0
270541, 0.15323959290981293, -0.4968980848789215, 1.2524127960205078, 0.023431234061717987, -0.02707512676715851, 3.48991816281341e-05, 157746.84375, 123327.1328125, 157833.71875, 150591.515625, 143679.890625, 161751.515625, 41109.0, 44997.0, 37977.0, 51728.0, 0.15387225151062012, -0.5014314651489258, 1.2527427673339844, 0.15785203874111176, -3.0400924682617188, 982.0
270561, 0.15408533811569214, -0.4983057379722595, 1.2524335384368896, 0.0361788272857666, -0.02725791744887829, 0.0003046767960768193, 157742.984375, 123326.4296875, 157835.65625, 150602.078125, 143675.671875, 161750.078125, 40771.0, 45526.0, 38303.0, 51337.0, 0.15474629402160645, -0.5031418800354004, 1.252706527709961, 0.1441190093755722, -3.480501890182495, 980.0
270582, 0.15515366196632385, -0.49947360157966614, 1.2524449825286865, 0.049624379724264145, -0.026868069544434547, -0.0005323151126503944, 157744.90625, 123330.203125, 157833.71875, 150607.046875, 143684.109375, 161745.59375, 40230.0, 45758.0, 39003.0, 51066.0, 0.1557626724243164, -0.5039539337158203, 1.2523937225341797, 0.14200323820114136, -3.6468660831451416, 980.0
