Timestamp,range.back,range.front,range.left,range.right,range.up,range.zrange
2204385,0,226,0,0,0,0
2204405,0,226,0,0,0,0
2204425,0,226,0,0,0,0
2204445,0,226,0,0,0,0
2204465,0,226,0,0,0,0
2204485,0,226,0,0,0,0
2204505,0,226,0,0,0,0
2204525,0,226,0,0,0,0
2204545,0,226,0,0,0,0
2204565,0,226,0,0,0,0
2204585,0,227,0,0,0,0
2204605,0,227,0,0,0,0
2204625,0,227,0,0,0,0
2204645,0,226,0,0,0,0
2204665,0,226,0,0,0,0
2204685,0,226,0,0,0,0
2204705,0,227,0,0,0,0
2204725,0,227,0,0,0,0
2204745,0,227,0,0,0,0
2204765,0,227,0,0,0,0
2204785,0,227,0,0,0,0
2204805,0,228,0,0,0,0
2204825,0,228,0,0,0,0
2204845,0,228,0,0,0,0
2204865,0,227,0,0,0,0
2204885,0,227,0,0,0,0
2204905,0,227,0,0,0,0
2204925,0,228,0,0,0,0
2204945,0,228,0,0,0,0
2204965,0,228,0,0,0,0
2204985,0,226,0,0,0,0
2205005,0,226,0,0,0,0
2205025,0,226,0,0,0,0
2205045,0,226,0,0,0,0
2205065,0,226,0,0,0,0
2205085,0,224,0,0,0,0
2205105,0,224,0,0,0,0
2205125,0,224,0,0,0,0
2205145,0,225,0,0,0,0
2205165,0,225,0,0,0,0
2205185,0,225,0,0,0,0
2205205,0,225,0,0,0,0
2205225,0,225,0,0,0,0
2205245,0,225,0,0,0,0
2205265,0,227,0,0,0,0
2205285,0,227,0,0,0,0
2205305,0,227,0,0,0,0
2205325,0,227,0,0,0,0
2205345,0,227,0,0,0,0
2205365,0,227,0,0,0,0
2205385,0,227,0,0,0,0
2205405,0,227,0,0,0,0
2205425,0,227,0,0,0,0
2205445,0,227,0,0,0,0
2205465,0,227,0,0,0,0
2205485,0,225,0,0,0,0
2205505,0,225,0,0,0,0
2205525,0,225,0,0,0,0
2205545,0,227,0,0,0,0
2205565,0,227,0,0,0,0
2205585,0,225,0,0,0,0
2205605,0,225,0,0,0,0
2205625,0,225,0,0,0,0
2205645,0,226,0,0,0,0
2205665,0,226,0,0,0,0
2205685,0,226,0,0,0,0
2205705,0,226,0,0,0,0
2205725,0,226,0,0,0,0
2205745,0,226,0,0,0,0
2205765,0,226,0,0,0,0
2205785,0,226,0,0,0,0
2205805,0,226,0,0,0,0
2205825,0,225,0,0,0,0
2205845,0,225,0,0,0,0
2205865,0,227,0,0,0,0
2205885,0,227,0,0,0,0
2205905,0,227,0,0,0,0
2205925,0,226,0,0,0,0
2205945,0,226,0,0,0,0
2205965,0,226,0,0,0,0
2205985,0,227,0,0,0,0
2206005,0,227,0,0,0,0
2206025,0,227,0,0,0,0
2206045,0,225,0,0,0,0
2206065,0,225,0,0,0,0
2206085,0,225,0,0,0,0
2206105,0,228,0,0,0,0
2206125,0,228,0,0,0,0
2206145,0,225,0,0,0,0
2206165,0,225,0,0,0,0
2206185,0,225,0,0,0,0
2206205,0,226,0,0,0,0
2206225,0,226,0,0,0,0
2206245,0,226,0,0,0,0
2206265,0,226,0,0,0,0
2206285,0,226,0,0,0,0
2206305,0,226,0,0,0,0
2206325,0,225,0,0,0,0
2206345,0,225,0,0,0,0
2206365,0,225,0,0,0,0
2206385,0,226,0,0,0,0
2206405,0,226,0,0,0,0
2206425,0,225,0,0,0,0
2206445,0,225,0,0,0,0
2206465,0,225,0,0,0,0
2206485,0,226,0,0,0,0
2206505,0,226,0,0,0,0
2206525,0,226,0,0,0,0
2206545,0,225,0,0,0,0
2206565,0,225,0,0,0,0
2206585,0,225,0,0,0,0
2206605,0,227,0,0,0,0
2206625,0,227,0,0,0,0
2206645,0,227,0,0,0,0
2206665,0,227,0,0,0,0
2206685,0,227,0,0,0,0
2206705,0,225,0,0,0,0
2206725,0,225,0,0,0,0
2206745,0,225,0,0,0,0
2206765,0,227,0,0,0,0
2206785,0,227,0,0,0,0
2206805,0,227,0,0,0,0
2206825,0,227,0,0,0,0
2206845,0,227,0,0,0,0
2206865,0,227,0,0,0,0
2206885,0,226,0,0,0,0
2206905,0,226,0,0,0,0
2206925,0,226,0,0,0,0
2206945,0,226,0,0,0,0
2206965,0,226,0,0,0,0
2206985,0,226,0,0,0,0
2207005,0,226,0,0,0,0
2207025,0,226,0,0,0,0
2207045,0,225,0,0,0,0
2207065,0,225,0,0,0,0
2207085,0,225,0,0,0,0
2207105,0,227,0,0,0,0
2207125,0,227,0,0,0,0
2207145,0,227,0,0,0,0
2207165,0,226,0,0,0,0
2207185,0,226,0,0,0,0
2207205,0,226,0,0,0,0
