timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
513272, 0.013322005048394203, -0.2720266878604889, 1.3731039762496948, 0.002189322141930461, -0.0020769373513758183, -0.0166276004165411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
513292, 0.013414698652923107, -0.27222350239753723, 1.372702956199646, 0.001954296138137579, -0.0023799038026481867, -0.016634617000818253, 78167.1875, 107983.703125, 77087.7890625, 45327.45703125, 125145.1328125, 124715.7421875, 39747.0, 49448.0, 46583.0, 47901.0, -1.5598992109298706, 0.1047087162733078, 0
513314, 0.01351405680179596, -0.272441565990448, 1.3721543550491333, 0.0018395044608041644, -0.0024640990886837244, -0.01654510200023651, 78165.3984375, 107978.7265625, 77076.1796875, 45326.50390625, 125139.1015625, 124715.7421875, 42305.0, 48210.0, 44500.0, 49495.0, -1.57526695728302, -0.04336974769830704, 1125.0
513332, 0.013576917350292206, -0.2725807726383209, 1.3719749450683594, 0.0023409829009324312, -0.002600871492177248, -0.016085762530565262, 78166.375, 107986.4453125, 77069.09375, 45326.8203125, 125147.359375, 124710.375, 44020.0, 47652.0, 42787.0, 49789.0, -1.5834778547286987, -0.19715741276741028, 1125.0
513354, 0.013694827444851398, -0.27275291085243225, 1.3716617822647095, 0.004568737465888262, -0.0027071053627878428, -0.015558315441012383, 78161.015625, 107983.703125, 77080.53125, 45327.45703125, 125152.4765625, 124708.1484375, 44717.0, 47214.0, 41797.0, 50317.0, -1.5959086418151855, -0.7309442162513733, 1125.0
513372, 0.013895121403038502, -0.2729641795158386, 1.371388554573059, 0.008866928517818451, -0.003125386778265238, -0.015168660320341587, 78167.359375, 107991.4140625, 77076.34375, 45327.13671875, 125168.078125, 124708.1484375, 45471.0, 46177.0, 41026.0, 51096.0, -1.6065080165863037, -1.35008704662323, 1128.0
513392, 0.014203761704266071, -0.2731456756591797, 1.371140480041504, 0.01552191935479641, -0.0036564061883836985, -0.012811841443181038, 78167.0234375, 107986.4453125, 77076.015625, 45326.8203125, 125166.5, 124701.46875, 45071.0, 47041.0, 41374.0, 50340.0, -1.6163686513900757, -2.0125112533569336, 1128.0
513413, 0.014690947718918324, -0.2733861804008484, 1.3709461688995361, 0.024187365546822548, -0.004266142379492521, -0.011956307105720043, 78172.5546875, 107980.21875, 77071.828125, 45326.8203125, 125164.2734375, 124710.375, 44043.0, 45634.0, 42439.0, 51429.0, -1.6221256256103516, -2.57546067237854, 1128.0
513432, 0.015330943278968334, -0.27356353402137756, 1.3706974983215332, 0.03427498787641525, -0.004773290362209082, -0.014497388154268265, 78161.828125, 107989.3046875, 77068.9296875, 45326.8203125, 125170.9609375, 124720.8515625, 44671.0, 46439.0, 41640.0, 50867.0, -1.6348475217819214, -3.0529885292053223, 1132.0
513452, 0.01629544049501419, -0.2737565040588379, 1.3703768253326416, 0.046996984630823135, -0.005308132618665695, -0.015581411309540272, 78162.6328125, 107989.3046875, 77075.2109375, 45326.8203125, 125142.90625, 124719.28125, 44996.0, 45851.0, 41299.0, 51404.0, -1.6457140445709229, -3.4164159297943115, 1132.0
513472, 0.017450816929340363, -0.27398478984832764, 1.3700333833694458, 0.059706125408411026, -0.00583746237680316, -0.015948638319969177, 78168.9765625, 107982.3359375, 77071.828125, 45327.13671875, 125160.734375, 124713.2578125, 45827.0, 45844.0, 40449.0, 51403.0, -1.6584012508392334, -3.6799256801605225, 1144.0
513492, 0.018884548917412758, -0.2742578685283661, 1.3697248697280884, 0.07321035116910934, -0.006567718926817179, -0.015091740526258945, 78168.9765625, 107987.1875, 77073.6015625, 45326.8203125, 125146.4453125, 124718.3671875, 45718.0, 45763.0, 40501.0, 51530.0, -1.6625292301177979, -3.850461721420288, 1144.0
513512, 0.020695552229881287, -0.27450239658355713, 1.3693647384643555, 0.08755569905042648, -0.007110089994966984, -0.018984152004122734, 78169.953125, 107987.9375, 77072.6328125, 45327.13671875, 125138.4453125, 124721.5078125, 45779.0, 44899.0, 40560.0, 52046.0, -1.6725064516067505, -3.937429189682007, 1144.0
513532, 0.022704098373651505, -0.2747562825679779, 1.3689477443695068, 0.10149075835943222, -0.007645822130143642, -0.0204343069344759, 78166.2109375, 107989.3046875, 77065.546875, 45326.50390625, 125136.875, 124726.6171875, 45487.0, 46049.0, 40922.0, 51385.0, -1.6793988943099976, -3.9575722217559814, 1140.0
