timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, otX, otY, otZ, yaw, pitch
151839, 1.7734662294387817, -3.3361659049987793, 0.004624738357961178, -0.06146747246384621, -0.009590010158717632, 0.010852211154997349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
151860, 1.7742106914520264, -3.3357391357421875, 0.003043609205633402, -0.05584106594324112, -0.005693414714187384, -0.0003255326591897756, 118729.1796875, 148774.65625, 89918.2734375, 120208.5703125, 139878.109375, 98399.171875, 0.0, 0.0, 0.0, 0.0, 1.7803058624267578, -3.3348891735076904, -0.01110153179615736, 84.23583221435547, 3.967644691467285
151879, 1.7736726999282837, -3.3357436656951904, 0.0041760955937206745, -0.059456657618284225, -0.0055715665221214294, 0.007142379879951477, 118745.3046875, 148777.421875, 89921.3671875, 120210.765625, 139875.3125, 98403.234375, 0.0, 0.0, 0.0, 0.0, 1.779510736465454, -3.3348188400268555, -0.009867134504020214, 84.24760437011719, 3.971242904663086
151900, 1.7735450267791748, -3.336094379425049, 0.0032270036172121763, -0.05921311676502228, -0.008932722732424736, 0.0003214192984160036, 118737.2421875, 148774.65625, 89917.125, 120209.46875, 139886.203125, 98398.4140625, 0.0, 0.0, 0.0, 0.0, 1.7803021669387817, -3.33488392829895, -0.011021057143807411, 84.220458984375, 3.9476187229156494
151919, 1.77346932888031, -3.336707830429077, 0.004117285832762718, -0.060277119278907776, -0.015164416283369064, 0.007427765987813473, 118732.8671875, 148781.578125, 89922.1640625, 120212.9609375, 139884.421875, 98397.8984375, 0.0, 0.0, 0.0, 0.0, 1.7807167768478394, -3.3351175785064697, -0.011321334168314934, 84.2239761352539, 3.9372029304504395
151940, 1.7734816074371338, -3.33646821975708, 0.00286102294921875, -0.060570456087589264, -0.012339875102043152, -0.0011868951842188835, 118737.9375, 148779.71875, 89919.8671875, 120206.375, 139885.6875, 98397.140625, 0.0, 0.0, 0.0, 0.0, 1.7802633047103882, -3.3348517417907715, -0.011054398491978645, 84.24453735351562, 3.9975085258483887
151961, 1.7736293077468872, -3.336052417755127, 0.0017062220722436905, -0.058226604014635086, -0.008197370916604996, -0.008265153504908085, 118742.3125, 148774.65625, 89922.9609375, 120213.8515625, 139878.109375, 98399.171875, 0.0, 0.0, 0.0, 0.0, 1.7803243398666382, -3.334876537322998, -0.011158970184624195, 84.22274017333984, 3.949697971343994
151979, 1.7738924026489258, -3.3357152938842773, 0.002328167436644435, -0.05484842509031296, -0.005011197179555893, -0.003018353134393692, 118735.75, 148778.34375, 89924.109375, 120207.2734375, 139875.3125, 98398.4140625, 0.0, 0.0, 0.0, 0.0, 1.7794891595840454, -3.3347997665405273, -0.009862275794148445, 84.23237609863281, 3.96003794670105
152000, 1.773852825164795, -3.336657762527466, 0.0007866896339692175, -0.05600006878376007, -0.013764508999884129, -0.012434732168912888, 118729.1796875, 148785.71875, 89917.125, 120210.1171875, 139882.15625, 98393.84375, 0.0, 0.0, 0.0, 0.0, 1.7806437015533447, -3.335113286972046, -0.011203328147530556, 84.2560043334961, 3.999413251876831
152019, 1.7736103534698486, -3.336371898651123, 0.003140825079753995, -0.05835673585534096, -0.01111546065658331, 0.0034223429393023252, 118733.5546875, 148785.71875, 89922.1640625, 120205.7265625, 139881.140625, 98401.9609375, 0.0, 0.0, 0.0, 0.0, 1.7803291082382202, -3.334914207458496, -0.011145309545099735, 84.23320770263672, 3.9495370388031006
