Timestamp,range.back,range.front,range.left,range.right,range.up,range.zrange
212625,0,218,0,0,0,0
212645,0,218,0,0,0,0
212665,0,218,0,0,0,0
212685,0,218,0,0,0,0
212705,0,218,0,0,0,0
212725,0,218,0,0,0,0
212745,0,218,0,0,0,0
212765,0,218,0,0,0,0
212785,0,218,0,0,0,0
212805,0,219,0,0,0,0
212825,0,219,0,0,0,0
212845,0,219,0,0,0,0
212865,0,217,0,0,0,0
212885,0,217,0,0,0,0
212905,0,217,0,0,0,0
212925,0,219,0,0,0,0
212945,0,219,0,0,0,0
212965,0,219,0,0,0,0
212985,0,218,0,0,0,0
213005,0,218,0,0,0,0
213025,0,218,0,0,0,0
213045,0,218,0,0,0,0
213065,0,218,0,0,0,0
213085,0,218,0,0,0,0
213105,0,218,0,0,0,0
213125,0,218,0,0,0,0
213145,0,219,0,0,0,0
213165,0,219,0,0,0,0
213185,0,219,0,0,0,0
213205,0,218,0,0,0,0
213225,0,218,0,0,0,0
213245,0,218,0,0,0,0
213265,0,219,0,0,0,0
213285,0,219,0,0,0,0
213305,0,219,0,0,0,0
213325,0,219,0,0,0,0
213345,0,219,0,0,0,0
213365,0,218,0,0,0,0
213385,0,218,0,0,0,0
213405,0,218,0,0,0,0
213425,0,218,0,0,0,0
213445,0,218,0,0,0,0
213465,0,218,0,0,0,0
213485,0,217,0,0,0,0
213505,0,217,0,0,0,0
213525,0,217,0,0,0,0
213545,0,219,0,0,0,0
213565,0,219,0,0,0,0
213585,0,218,0,0,0,0
213605,0,218,0,0,0,0
213625,0,218,0,0,0,0
213645,0,219,0,0,0,0
213665,0,219,0,0,0,0
213685,0,219,0,0,0,0
213705,0,219,0,0,0,0
213725,0,219,0,0,0,0
213745,0,219,0,0,0,0
213765,0,217,0,0,0,0
213785,0,217,0,0,0,0
213805,0,217,0,0,0,0
213825,0,219,0,0,0,0
213845,0,219,0,0,0,0
213865,0,217,0,0,0,0
213885,0,217,0,0,0,0
213905,0,217,0,0,0,0
213925,0,219,0,0,0,0
213945,0,219,0,0,0,0
213965,0,219,0,0,0,0
213985,0,219,0,0,0,0
