timeTick, stateX, stateY, stateZ, stateVX, stateVY, stateVZ, whisker1_1, whisker1_2, whisker1_3, whisker2_1, whisker2_2, whisker2_3, motor1, motor2, motor3, motor4, yaw, pitch, laserFront
42221, 0.2510145902633667, -0.611311137676239, 1.3813152313232422, 0.011481838300824165, -0.031677208840847015, 0.011004490777850151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
42241, 0.2516108453273773, -0.6126900911331177, 1.3814871311187744, 0.010991868562996387, -0.030965732410550117, 0.010550814680755138, 81450.71875, 110453.4296875, 75594.609375, 47344.49609375, 129573.015625, 126671.2734375, 41307.0, 43473.0, 45248.0, 46536.0, 3.694732666015625, 0.5069975256919861, 900.0
42261, 0.2523478865623474, -0.6143108010292053, 1.3816252946853638, 0.011475327424705029, -0.03119690530002117, 0.008978739380836487, 81451.53125, 110455.5625, 75594.609375, 47346.8203125, 129572.3828125, 126675.7421875, 42060.0, 43590.0, 44565.0, 46387.0, 3.69465708732605, 0.44344446063041687, 900.0
42281, 0.2530997693538666, -0.6159409880638123, 1.381742238998413, 0.0128675177693367, -0.031313370913267136, 0.008903928101062775, 81454.3828125, 110459.171875, 75592.859375, 47346.29296875, 129568.5078125, 126677.3359375, 43449.0, 41675.0, 43432.0, 47856.0, 3.7043063640594482, 0.23696233332157135, 898.0
42301, 0.2537751793861389, -0.6173412203788757, 1.3818714618682861, 0.015417520888149738, -0.030518479645252228, 0.005229342728853226, 81456.0078125, 110459.0859375, 75595.4140625, 47344.49609375, 129573.640625, 126678.921875, 44388.0, 41117.0, 42389.0, 48271.0, 3.7138280868530273, -0.2144932746887207, 898.0
42321, 0.25435736775398254, -0.6184574365615845, 1.3819068670272827, 0.018427465111017227, -0.03137936443090439, 0.0037991811987012625, 81457.234375, 110461.21875, 75586.671875, 47346.4453125, 129604.8984375, 126681.8046875, 44571.0, 40665.0, 42365.0, 48641.0, 3.718719244003296, -1.1552821397781372, 894.0
42341, 0.25572463870048523, -0.6206508278846741, 1.3820372819900513, 0.02838277257978916, -0.030516643077135086, 0.0008740415214560926, 81452.34375, 110462.6953125, 75574.4296875, 47341.796875, 129574.6328125, 126679.5703125, 45420.0, 40445.0, 41270.0, 48931.0, 3.7239720821380615, -1.4913527965545654, 894.0
42361, 0.25682398676872253, -0.6220333576202393, 1.3820801973342896, 0.037561193108558655, -0.029537269845604897, -0.0007882701465860009, 81457.84375, 110453.4296875, 75589.359375, 47344.49609375, 129588.140625, 126686.2734375, 44513.0, 40808.0, 42353.0, 48730.0, 3.72245717048645, -2.1154284477233887, 894.0
42382, 0.25775036215782166, -0.6231988072395325, 1.382103443145752, 0.044595059007406235, -0.030203722417354584, -0.00014490859757643193, 81456.0078125, 110459.828125, 75583.9765625, 47341.9453125, 129570.7578125, 126681.8046875, 45023.0, 40915.0, 41788.0, 48693.0, 3.7260239124298096, -2.6255199909210205, 889.0
42402, 0.2594626247882843, -0.6249361634254456, 1.3821178674697876, 0.057702578604221344, -0.029894493520259857, -0.004048941656947136, 81454.1796875, 110460.5625, 75582.3671875, 47346.29296875, 129575.265625, 126684.6875, 44135.0, 40908.0, 42692.0, 48722.0, 3.721973180770874, -3.069267988204956, 889.0
